station_id,station_type,access_mode,port_name,equipment_id,address,slide_mm,cad_x,cad_y,cad_z,draw_x,draw_y
7596,DUAL_ACCESS,UNIVERSAL,4ABL3301A_IN01,4ABL3301A,12332,1399,70295.731219782,-138094.17760949666,0.0,11094.221816917998,1304.849842526659
7585,DUAL_ACCESS,UNIVERSAL,4ABL3301A_IN02,4ABL3301A,12305,1683,70286.27806748333,-138230.86179679332,0.0,11084.768664619332,1441.5340298233205
7586,DUAL_ACCESS,UNIVERSAL,4ABL3301A_OUT03,4ABL3301A,12308,1163,70451.0310802,-138201.76412071,0.0,11249.521677336,1412.4363537399913
7591,DUAL_ACCESS,UNIVERSAL,4ABL3301A_OUT04,4ABL3301A,12337,616,70429.36619595734,-138142.76401211665,0.0,11227.856793093335,1353.436245146644
7587,DUAL_ACCESS,UNIVERSAL,4ABL3302A_IN03,4ABL3302A,12312,1479,70451.03304786333,-137999.42176311332,0.0,11249.523644999324,1210.0939961433178
7592,DUAL_ACCESS,UNIVERSAL,4ABL3302A_IN04,4ABL3302A,12340,2554,70429.36638119667,-137995.18842977998,0.0,11227.856978332667,1205.8606628099806
7590,DUAL_ACCESS,UNIVERSAL,4ABL3302A_OUT01,4ABL3302A,12324,1330,70274.06413765067,-137883.04785836334,0.0,11072.554734786667,1093.7200913933339
7595,DUAL_ACCESS,UNIVERSAL,4ABL3302A_OUT02,4ABL3302A,12349,1175,70295.73096287434,-137909.48083494,0.0,11094.221560010337,1120.1530679700081
7588,DUAL_ACCESS,UNIVERSAL,4ABL3303A_IN03,4ABL3303A,12314,184,70451.03287023566,-137827.03040652667,0.0,11249.523467371662,1037.7026395566645
7593,DUAL_ACCESS,UNIVERSAL,4ABL3303A_IN04,4ABL3303A,12342,1824,70429.366203569,-137844.59707319332,0.0,11227.856800705005,1055.2693062233157
7589,DUAL_ACCESS,UNIVERSAL,4ABL3303A_OUT01,4ABL3303A,12322,529,70274.06477884567,-137782.79609775,0.0,11072.555375981668,993.468330779986
7594,DUAL_ACCESS,UNIVERSAL,4ABL3303A_OUT02,4ABL3303A,12346,1316,70295.73364942534,-137778.12760790333,0.0,11094.224246561338,988.7998409333231
10392,DUAL_ACCESS,UNIVERSAL,4ABL3304_AI301,4ABL3304,12338,1448,70429.36623229166,-138091.35513938667,0.0,11227.856829427663,1302.0273724166618
2302,DUAL_ACCESS,UNIVERSAL,4ABL3304_AI302,4ABL3304,12339,248,70429.36623229166,-138032.52180605,0.0,11227.856829427663,1243.194039080001
9216,DUAL_ACCESS,UNIVERSAL,4ABL3304_AI304,4ABL3304,12310,0,70451.03289895834,-138099.08847272,0.0,11249.523496094334,1309.760705749999
10250,DUAL_ACCESS,UNIVERSAL,4ABL3304_AI305,4ABL3304,12311,380,70451.03289895834,-138036.75513938334,0.0,11249.523496094334,1247.4273724133382
3858,DUAL_ACCESS,UNIVERSAL,4ABL3304_AO303,4ABL3304,12339,831,70429.36623229166,-138032.52180605,0.0,11227.856829427663,1243.194039080001
10633,DUAL_ACCESS,UNIVERSAL,4ABL3304_AO306,4ABL3304,12311,964,70451.03289895834,-138036.75513938334,0.0,11249.523496094334,1247.4273724133382
34854,DUAL_ACCESS,ZFS_LEFT,4AFC3201A_IN11,4AFC3201A,5413,617,69458.50933333334,-140018.94114865,0.0,10256.999930469334,3229.6133816799847
34855,DUAL_ACCESS,ZFS_LEFT,4AFC3201A_IN12,4AFC3201A,5414,712,69458.50933333334,-139972.27448198333,0.0,10256.999930469334,3182.946715013328
34856,DUAL_ACCESS,ZFS_LEFT,4AFC3201A_IN13,4AFC3201A,5414,1722,69458.50933333334,-139972.27448198333,0.0,10256.999930469334,3182.946715013328
34857,DUAL_ACCESS,ZFS_LEFT,4AFC3201A_IN14,4AFC3201A,5416,723,69458.50955163434,-139872.3609855667,0.0,10257.000148770341,3083.0332185966836
34858,DUAL_ACCESS,ZFS_LEFT,4AFC3201A_IN15,4AFC3201A,5417,1113,69458.50944248399,-139835.4276092933,0.0,10257.00003961999,3046.0998423233104
