file,datetime,date,time,stage,stage_name,prev_stage,transition,incident_state,continuity_min,refire_count,predicted_fault_type,unified_risk_score,unified_risk_level,hot_area,hot_score,affected_areas,propagation_chain,flow_signals,maxcapa_signals,M16HUB_score,M14_score,M14B_score,M16A_score,M16B_score,M16_score,M16_PKT_score,M16_WT_score,M16HUB_signals,M14_signals,M14B_signals,M16A_signals,M16B_signals,M16HUB_ra,M14_ra,M14B_ra,M16A_ra,M16B_ra,M16HUB_rb_diff30,M14_rb_diff30,M14B_rb_diff30,M16A_rb_diff30,M16B_rb_diff30,M16HUB_rd_fab,M16HUB_stb_util,M16HUB_rev_count,M16HUB_rev_lids,sla_M14,sla_M14B,sla_M16A,sla_M16B,sla_M16HUB,sorter_M14,sorter_M14B,sorter_M16A,sorter_M16B,sorter_M16HUB,reason,M16HUB_pts_RA,M16HUB_pts_RA_sus,M16HUB_pts_RB,M16HUB_pts_RB_fast,M16HUB_pts_RC,M16HUB_pts_RD,M16HUB_pts_SLA,M16HUB_pts_SORT,M16HUB_pts_MAXCAPA,M14_pts_RA,M14_pts_RA_sus,M14_pts_RB,M14_pts_RB_fast,M14_pts_RC,M14_pts_RD,M14_pts_SLA,M14_pts_SORT,M14_pts_MAXCAPA,M14B_pts_RA,M14B_pts_RA_sus,M14B_pts_RB,M14B_pts_RB_fast,M14B_pts_RC,M14B_pts_RD,M14B_pts_SLA,M14B_pts_SORT,M14B_pts_MAXCAPA,M16A_pts_RA,M16A_pts_RA_sus,M16A_pts_RB,M16A_pts_RB_fast,M16A_pts_RC,M16A_pts_RD,M16A_pts_SLA,M16A_pts_SORT,M16A_pts_MAXCAPA,M16B_pts_RA,M16B_pts_RA_sus,M16B_pts_RB,M16B_pts_RB_fast,M16B_pts_RC,M16B_pts_RD,M16B_pts_SLA,M16B_pts_SORT,M16B_pts_MAXCAPA,layer1_total,flow_score,sla_score_total,sorter_score_total,mc_score_total,M16HUB_ra_count,M14_ra_count,M14B_ra_count,M16A_ra_count,M16B_ra_count,M16HUB_rb_diff10,M14_rb_diff10,M14B_rb_diff10,M16A_rb_diff10,M16B_rb_diff10,M16HUB_rc_trend,M14_cnv_skew,M14_rd_oht,M14B_rd_oht,M16A_rd_oht,M16B_rd_oht,M16HUB_sla_cnt,M14_sla_cnt,M16A_sla_cnt,M16B_sla_cnt,M16A_sorter_fail,M16B_sorter_fail,M16HUB_score_raw,M14_score_raw,M14B_score_raw,M16A_score_raw,M16B_score_raw
M16A_HUBROOM_PR.csv,2026-06-26 00:00,2026-06-26,00:00,3,3단계 ⭐확정,3,,IN_INCIDENT,22,0,HUB-MLUD,45,,M16HUB,15,M16HUB,"M16HUB(23:00,RA+RA_sus+RD) → M16A(23:02,RA_sus+RB+RB_fast) → M16(23:07,RB+RB_fast) → M14(23:10,RA_sus+RC+SLA) → M16B(23:14,RA_sus+RB_fast+SLA) → M16_PKT(23:26,RA+RA_sus)",,,15,5,0,10,10,0,0,0,RC+RD,RA_sus,,RA_sus+RB_fast,RA_sus+SLA,6.01,3.04,3.30,2.60,2.90,20,0,15,15,17,0,99.41,4,"6ABL6012,6ABL6021,6ABL6031,6ABL0121",19.90,0,7.22,12.35,0,42,21,24,13,0,"hot_area=M16HUB; S3확정; 발동: M16HUB[R-C'(역증가4개:6ABL6012,6ABL6021,6ABL6031,6ABL0121),R-D(FAB저장=0.0%,STB=99.4%)]; M14[R-A_sus]; M16A[R-A_sus,R-B_fast(+48/10분)]; M16B[R-A_sus,SLA(12.3%4분초과)]",0,0,0,0,8,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,5,0,0,40,0,5,0,0,0,0,0,0,0,10,14,6,48,-3,-2,0.67,79.20,85.49,83.87,75.78,0,195,46,90,0,0,15,5,0,10,10
M16A_HUBROOM_PR.csv,2026-06-26 00:01,2026-06-26,00:01,3,3단계 ⭐확정,3,,IN_INCIDENT,23,0,M16A-신호,37,,M16A,10,,"M16HUB(23:01,RA+RA_sus+RD) → M16A(23:02,RA_sus+RB+RB_fast) → M16(23:07,RB+RB_fast) → M14(23:10,RA_sus+RC+SLA) → M16B(23:14,RA_sus+RB_fast+SLA) → M16_PKT(23:26,RA+RA_sus)",,,7,5,0,10,5,10,0,0,RD,RA_sus,,RA_sus+RB_fast,RA_sus,5.45,2.71,3.62,2.57,2.43,32,11,15,41,9,0,99.41,4,"6ABL6012,6ABL6021,6ABL0121,6ABL0122",19.95,0,7.32,10.00,0,42,22,27,13,0,"hot_area=M16A; S3확정; 발동: M16HUB[R-D(FAB저장=0.0%,STB=99.4%)]; M14[R-A_sus]; M16A[R-A_sus,R-B_fast(+51/10분)]; M16B[R-A_sus]; M16[R-B(SENDQUEUETOTAL+33/30분/기준+20)]",0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,18,14,2,51,-15,5,0.67,77.75,86.15,85.70,78.75,0,176,55,83,0,0,7,5,0,10,5
M16A_HUBROOM_PR.csv,2026-06-26 00:02,2026-06-26,00:02,3,3단계 ⭐확정,3,,IN_INCIDENT,24,0,M16A-신호,27,,M16A,10,,"M16HUB(23:02,RA+RA_sus+RC+RD) → M16A(23:02,RA_sus+RB+RB_fast) → M16(23:07,RB+RB_fast) → M14(23:10,RA_sus+RC+SLA) → M16B(23:14,RA_sus+RB_fast+SLA) → M16_PKT(23:26,RA+RA_sus)",,,7,5,0,10,5,0,0,0,RD,RA_sus,,RA_sus+RB_fast,RA_sus,4.19,2.78,3.10,2.43,2.54,31,12,17,56,-3,0.59,99.41,4,"6ABL6011,6ABL6012,6ABL6021,6ABL0121",19.94,0,7.08,10.68,0,46,25,20,10,0,"hot_area=M16A; S3확정; 발동: M16HUB[R-D(FAB저장=0.6%,STB=99.4%)]; M14[R-A_sus]; M16A[R-A_sus,R-B_fast(+60/10분)]; M16B[R-A_sus]",0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,22,-15,60,-15,3,0.66,76.68,86.28,86.84,77.20,0,186,48,79,0,0,7,5,0,10,5
M16A_HUBROOM_PR.csv,2026-06-26 00:03,2026-06-26,00:03,3,3단계 ⭐확정,3,,IN_INCIDENT,25,0,HUB-MLUD,52,,M16HUB,12,,"M16HUB(23:03,RA+RA_sus+RD) → M16A(23:03,RA_sus+RB+RB_fast) → M16(23:07,RB+RB_fast) → M14(23:10,RA_sus+RC+SLA) → M16B(23:14,RA_sus+RB_fast+SLA) → M16_PKT(23:26,RA+RA_sus)",M16B_10F_TO_HUB=1.5x(주의),,12,10,0,10,5,10,0,0,RB_fast+RD,RA_sus+RB_fast,,RA_sus+RB_fast,RA_sus,4.00,2.85,3.05,2.70,2.24,37,7,16,63,14,0,99.41,4,"6ABL6012,6ABL0111,6ABL0112,6ABL0121",18.93,0,6.42,11.12,0,48,22,28,18,0,"hot_area=M16HUB; S3확정; 발동: M16HUB[R-B_fast(+34/10분),R-D(FAB저장=0.0%,STB=99.4%)]; M14[R-A_sus,R-B_fast(+34/10분)]; M16A[R-A_sus,R-B_fast(+46/10분)]; M16B[R-A_sus]; M16[R-B(SENDQUEUETOTAL+28/30분/기준+20)]; 흐름:M16B_10F_TO_HUB=1.5x(주의)",0,0,0,5,0,7,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,47,5,0,0,0,0,0,0,0,0,34,34,3,46,9,8,0.68,79.30,87.73,85.93,83.00,0,187,48,93,0,0,12,10,0,10,5
M16A_HUBROOM_PR.csv,2026-06-26 00:04,2026-06-26,00:04,3,3단계 ⭐확정,3,,IN_INCIDENT,26,0,HUB-MLUD,60,경계,M16HUB,20,M16HUB;M16A,"M16HUB(23:04,RA+RA_sus+RC+RD) → M16A(23:04,RA_sus+RB+RB_fast) → M16(23:07,RB+RB_fast) → M14(23:10,RA_sus+RC+SLA) → M16B(23:14,RA_sus+RB_fast+SLA) → M16_PKT(23:26,RA+RA_sus)",,,20,10,0,20,10,0,0,0,RB_fast+RC+RD,RA_sus+RB_fast,,RA_sus+RB+RB_fast,RA_sus+RB_fast,5.75,2.74,3.44,2.54,2.47,34,8,13,80,18,0,100.00,4,"6ABL6012,6ABL6031,6ABL0111,6ABL0121",19.60,0,6.81,11.05,0,44,20,27,15,0,"hot_area=M16HUB; S3확정; 발동: M16HUB[R-B_fast(+33/10분),R-C'(역증가4개:6ABL6012,6ABL6031,6ABL0111,6ABL0121),R-D(FAB저장=0.0%,STB=100.0%)]; M14[R-A_sus,R-B_fast(+31/10분)]; M16A[R-A_sus,R-B(6F_TO_HUB_JOB+80/30분/기준+80),R-B_fast(+52/10분)]; M16B[R-A_sus,R-B_fast(+13/10분)]",0,0,0,5,8,7,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,33,31,1,52,13,-5,0.66,78.33,81.00,84.21,86.83,0,177,47,82,0,0,20,10,0,20,10
M16A_HUBROOM_PR.csv,2026-06-26 00:05,2026-06-26,00:05,3,3단계 ⭐확정,3,,IN_INCIDENT,27,0,M14-신호,52,,M14,10,,"M16HUB(23:05,RA+RA_sus+RD) → M16A(23:05,RA_sus+RB+RB_fast) → M16(23:07,RB+RB_fast) → M14(23:10,RA_sus+RC+SLA) → M16B(23:14,RA_sus+RB_fast+SLA) → M16_PKT(23:26,RA+RA_sus)",M16A_2F_TO_HUB=1.6x(주의),,7,10,0,10,10,10,0,0,RD,RA_sus+RB_fast,,RA_sus+RB_fast,RA_sus+RB_fast,4.27,2.86,3.03,2.43,2.38,21,2,6,79,16,0,100.00,5,"6ABL6012,6ABL6031,6ABL0111,6ABL0112,6ABL0121",18.00,0,6.41,7.95,0,39,16,28,16,0,"hot_area=M14; S3확정; 발동: M16HUB[R-D(FAB저장=0.0%,STB=100.0%)]; M14[R-A_sus,R-B_fast(+28/10분)]; M16A[R-A_sus,R-B_fast(+42/10분)]; M16B[R-A_sus,R-B_fast(+15/10분)]; M16[R-B(SENDQUEUETOTAL+24/30분/기준+20)]; 흐름:M16A_2F_TO_HUB=1.6x(주의)",0,0,0,0,0,7,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,47,5,0,0,0,0,0,0,0,0,0,28,-7,42,15,1,0.65,79.11,80.61,83.07,87.54,0,180,38,53,0,0,7,10,0,10,10
M16A_HUBROOM_PR.csv,2026-06-26 00:06,2026-06-26,00:06,3,3단계 ⭐확정,3,,IN_INCIDENT,28,0,M16A-큐누적,57,,M16A,20,M16A;M16B,"M16HUB(23:06,RA+RA_sus+RD) → M16A(23:06,RA_sus+RB+RB_fast) → M16(23:07,RB+RB_fast) → M14(23:10,RA_sus+RC+SLA) → M16B(23:14,RA_sus+RB_fast+SLA) → M16_PKT(23:26,RA+RA_sus)",M16A_2F_TO_HUB=1.5x(주의),,7,5,0,20,15,0,0,0,RD,RA_sus,,RA_sus+RB+RB_fast,RA_sus+RB_fast+SLA,4.08,2.72,3.73,2.92,2.97,-16,-7,4,101,12,0,100.00,5,"6ABL6011,6ABL6012,6ABL0111,6ABL0112,6ABL0121",18.53,0,8.60,11.77,0,44,20,25,14,0,"hot_area=M16A; S3확정; 발동: M16HUB[R-D(FAB저장=0.0%,STB=100.0%)]; M14[R-A_sus]; M16A[R-A_sus,R-B(6F_TO_HUB_JOB+101/30분/기준+80),R-B_fast(+58/10분)]; M16B[R-A_sus,R-B_fast(+13/10분),SLA(11.8%4분초과)]; 흐름:M16A_2F_TO_HUB=1.5x(주의)",0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,0,0,0,0,0,5,0,5,0,0,5,0,0,47,5,5,0,0,0,0,0,0,0,-5,-2,-9,58,13,6,0.67,77.94,80.08,83.64,85.13,0,166,65,101,0,0,7,5,0,20,15
M16A_HUBROOM_PR.csv,2026-06-26 00:07,2026-06-26,00:07,3,3단계 ⭐확정,3,,IN_INCIDENT,29,0,M16A-큐누적,47,,M16A,20,M16A,"M16HUB(23:07,RA+RA_sus+RD) → M16A(23:07,RA_sus+RB+RB_fast) → M16(23:07,RB+RB_fast) → M14(23:10,RA_sus+RC+SLA) → M16B(23:14,RA_sus+RB_fast+SLA) → M16_PKT(23:26,RA+RA_sus)",M16A_2F_TO_HUB=1.7x(주의),,7,5,0,20,5,5,0,0,RD,RA_sus,,RA_sus+RB+RB_fast,RA_sus,6.43,2.85,2.98,2.46,2.65,-17,-23,-11,99,-2,0,100.00,3,"6ABL6011,6ABL6012,6ABL0111",17.97,0,8.85,12.84,0,44,20,25,15,0,"hot_area=M16A; S3확정; 발동: M16HUB[R-D(FAB저장=0.0%,STB=100.0%)]; M14[R-A_sus]; M16A[R-A_sus,R-B(6F_TO_HUB_JOB+99/30분/기준+80),R-B_fast(+56/10분)]; M16B[R-A_sus]; M16[R-B_fast(+15/10분)]; 흐름:M16A_2F_TO_HUB=1.7x(주의)",0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,42,5,0,0,0,0,0,0,0,0,-18,-10,-14,56,8,3,0.63,79.11,79.82,82.84,83.71,0,165,60,98,0,0,7,5,0,20,5
M16A_HUBROOM_PR.csv,2026-06-26 00:08,2026-06-26,00:08,3,3단계 ⭐확정,3,,IN_INCIDENT,30,0,M16A-큐누적,37,,M16A,20,M16A,"M16HUB(23:08,RA+RD) → M16A(23:08,RA_sus+RB+RB_fast) → M14(23:10,RA_sus+RC+SLA) → M16B(23:14,RA_sus+RB_fast+SLA) → M16_PKT(23:26,RA+RA_sus) → M16(23:41,RB+RB_fast)",,,7,5,0,20,5,0,0,0,RD,RA_sus,,RA_sus+RB+RB_fast,RA_sus,4.51,2.82,2.96,2.51,2.50,-44,-39,-6,98,-3,0,100.00,4,"6ABL6011,6ABL6012,6ABL0111,6ABL0121",16.72,0,7.89,8.79,0,40,18,26,16,0,"hot_area=M16A; S3확정; 발동: M16HUB[R-D(FAB저장=0.0%,STB=100.0%)]; M14[R-A_sus]; M16A[R-A_sus,R-B(6F_TO_HUB_JOB+98/30분/기준+80),R-B_fast(+47/10분)]; M16B[R-A_sus]",0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,-28,-20,-4,47,2,0,0.64,78.81,78.23,81.69,77.48,0,159,48,59,0,0,7,5,0,20,5
M16A_HUBROOM_PR.csv,2026-06-26 00:09,2026-06-26,00:09,3,3단계 ⭐확정,3,,IN_INCIDENT,31,0,M16A-큐누적,37,,M16A,20,M16A,"M16HUB(23:09,RA+RD) → M16A(23:09,RA_sus+RB+RB_fast) → M14(23:10,RA_sus+RC+SLA) → M16B(23:14,RA_sus+RB_fast+SLA) → M16_PKT(23:26,RA+RA_sus) → M16(23:41,RB+RB_fast)",,,7,5,0,20,5,0,0,0,RD,RA_sus,,RA_sus+RB+RB_fast,RA_sus,4.20,2.52,2.92,2.40,3.09,-47,-53,-7,114,-13,0,100.00,4,"6ABL6012,6ABL0111,6ABL0121,6ABL0122",16.71,0,7.77,11.81,0,36,14,24,14,0,"hot_area=M16A; S3확정; 발동: M16HUB[R-D(FAB저장=0.0%,STB=100.0%)]; M14[R-A_sus]; M16A[R-A_sus,R-B(6F_TO_HUB_JOB+114/30분/기준+80),R-B_fast(+43/10분)]; M16B[R-A_sus]",0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,-35,-33,-3,43,-17,3,0.65,79.49,79.29,82.15,74.79,0,142,56,96,0,0,7,5,0,20,5
