episode_id,start_time,end_time,duration_min,equipment,line,fault_type,severity,status,is_orphan,message_count,message_ids
1,2026-05-06 11:49:11,2026-05-06 12:05:10,16.0,4ABLD131,,리프터,MED,closed,N,2,1|2
2,2026-05-07 07:31:26,2026-05-07 07:36:03,4.6,132호기,,,LOW,closed,N,2,4|5
3,2026-05-07 07:40:21,2026-05-07 07:40:21,0.0,4ABLD122,Hubroom,,LOW,open,N,1,6
4,2026-05-07 07:42:59,2026-05-07 07:42:59,0.0,,,,LOW,orphan,Y,1,7
5,2026-05-07 08:57:59,2026-05-07 08:57:59,0.0,,M14B,정체/병목,LOW,open,N,1,15
6,2026-05-07 10:36:21,2026-05-07 10:37:29,1.1,ZT 3호기,BRIDGE,정체/병목,LOW,open,N,2,20|21
7,2026-05-07 14:48:31,2026-05-07 14:48:31,0.0,ZT4-2호기,M16A,브릿지,LOW,open,N,1,22
8,2026-05-08 11:38:17,2026-05-08 11:39:44,1.4,,M14A,CAPA변경,LOW,open,N,2,25|28
9,2026-05-08 11:39:26,2026-05-08 11:55:34,16.1,,M16A,CAPA변경,MED,closed,N,3,26|30|31
10,2026-05-08 11:40:27,2026-05-08 11:40:27,0.0,6ABL0121,M16,정체/병목,LOW,open,N,1,29
11,2026-05-08 12:07:31,2026-05-08 12:07:31,0.0,,,정체/병목,LOW,open,N,1,32
12,2026-05-08 12:41:26,2026-05-08 12:41:26,0.0,OHT,BRIDGE,정체/병목,LOW,open,N,1,39
13,2026-05-08 12:43:02,2026-05-08 12:43:02,0.0,,M16A,,LOW,orphan,Y,1,42
14,2026-05-08 13:02:51,2026-05-08 13:02:51,0.0,,M14A,CAPA변경,LOW,open,N,1,53
15,2026-05-08 14:51:00,2026-05-08 14:51:00,0.0,,M16A,정체/병목,LOW,open,N,1,65
16,2026-05-08 15:37:48,2026-05-08 15:37:48,0.0,,M14A,CAPA변경,LOW,orphan,Y,1,67
17,2026-05-08 15:40:07,2026-05-08 15:40:07,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,68
18,2026-05-08 15:40:48,2026-05-08 15:40:48,0.0,,M14B,CAPA변경,LOW,orphan,Y,1,69
19,2026-05-08 15:43:54,2026-05-08 15:43:54,0.0,,,,LOW,orphan,Y,1,70
20,2026-05-08 15:49:35,2026-05-08 15:49:35,0.0,,M16B,,LOW,orphan,Y,1,71
21,2026-05-08 16:06:29,2026-05-08 16:06:29,0.0,,Bridge,,LOW,orphan,Y,1,73
22,2026-05-08 16:16:18,2026-05-08 16:16:18,0.0,4AFC3201,M14A,CNV,LOW,open,N,1,74
23,2026-05-08 16:33:28,2026-05-08 16:33:28,0.0,,,,LOW,orphan,Y,1,75
24,2026-05-09 17:39:41,2026-05-09 17:39:41,0.0,4AFC3201,M14,CNV,LOW,open,N,1,76
25,2026-05-09 17:45:29,2026-05-09 17:45:29,0.0,,,,LOW,orphan,Y,1,77
26,2026-05-09 17:59:14,2026-05-09 17:59:14,0.0,,,CNV,LOW,open,N,1,79
27,2026-05-09 18:14:18,2026-05-09 18:14:18,0.0,,,,LOW,orphan,Y,1,80
28,2026-05-10 02:33:08,2026-05-10 02:33:08,0.0,,,기타,LOW,open,N,1,81
29,2026-05-10 02:33:44,2026-05-10 02:33:44,0.0,,,기타,LOW,open,N,1,82
30,2026-05-10 02:34:51,2026-05-10 02:37:19,2.5,,M16A,CAPA변경,LOW,open,N,2,83|84
31,2026-05-10 04:49:32,2026-05-10 04:49:32,0.0,,,MLUD,LOW,open,N,1,87
32,2026-05-10 04:51:23,2026-05-10 04:51:23,0.0,OHT,Bridge,브릿지,LOW,open,N,1,88
33,2026-05-10 10:29:10,2026-05-10 10:29:10,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,92
34,2026-05-10 10:36:16,2026-05-10 10:36:16,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,93
35,2026-05-10 12:17:31,2026-05-10 12:17:31,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,94
36,2026-05-10 12:31:37,2026-05-10 12:31:37,0.0,,M16A,CAPA변경,LOW,orphan,Y,1,95
37,2026-05-10 22:34:19,2026-05-10 22:38:23,4.1,4AFC3301,,CNV,LOW,open,N,2,96|97
38,2026-05-10 23:59:35,2026-05-10 23:59:35,0.0,,M16A,CAPA변경,LOW,open,N,1,98
