날짜,요일,실제구분,실제사건,사건시각,모델_30분위험(분),모델_10분위험(분),최초경보시각,예측대상시각,사전리드(분),최고확률,판정
2026-06-01,월,설비,ZT Error(회복),,0,0,,,,36%,정상판정
2026-06-02,화,반송정체,반송Time 급증(OHT err),13:47,37,9,13:42,14:12,5,97%,정탐
2026-06-03,수,경미정체,반송Q 증가,02:18,0,0,,,,30%,미탐(경미)
2026-06-04,목,정상,특이사항 없음,,2,0,20:58,21:28,,62%,정상판정
2026-06-05,금,반송정체,PIO급증·M16B저장Full→반송지연,14:48,132,36,10:26,10:56,262,100%,정탐
2026-06-06,토,정상,특이사항 없음,,0,0,,,,13%,정상판정
2026-06-07,일,설비,4AFC3201 alarm(회복),11:16,14,0,11:41,12:11,-25,79%,오탐
2026-06-08,월,설비,ZT belt 정비,,0,0,,,,28%,정상판정
2026-06-09,화,설비,belt작업,,0,0,,,,8%,정상판정
2026-06-10,수,정상,특이사항 없음,,0,0,,,,11%,정상판정
2026-06-11,목,경미정체,LD교체후 일부정체,10:18,0,0,,,,13%,미탐(경미)
2026-06-12,금,설비,ZT down 작업,,0,0,,,,10%,정상판정
2026-06-13,토,설비,belt 교체,,0,0,,,,8%,정상판정
2026-06-14,일,설비,Error 회복,,0,0,,,,4%,정상판정
2026-06-15,월,설비,소방검사(계획),,0,0,,,,0%,정상판정
2026-06-16,화,스토커Full,M16A/B 스토커(HUB반송 정상),08:08,0,0,,,,4%,범주외(HUB반송 정상)

[검증 요약]
대상,HUB 반송 정체 30분 사전예측 (2026-06-01~06-16 실데이터 홀드아웃)
반송정체 탐지,"2/2 = 100% (6/2, 6/5)"
대표 사전예측,6/5 저장Full→반송지연: 262분 전 경보
오탐,"1일 (6/7 설비 alarm, 14분)"
정상일 정확판정,조용한 13일 중 12일 정상 처리
비고,6/16은 스토커 용량이슈(FAB) — HUB 반송(4분초과) 정상이라 범주 외
