날짜,시,시각,데이터분,ALL_정체분,ALL_경보분,ALL_점수최고,M16HUB_정체분,M16HUB_경보분,M16HUB_점수최고,M14_정체분,M14_경보분,M14_점수최고,M14B_정체분,M14B_경보분,M14B_점수최고,M16A_정체분,M16A_경보분,M16A_점수최고,M16B_정체분,M16B_경보분,M16B_점수최고
2026-08-12,0,00:00,60,0,0,43.0,0,0,21,0,0,36,0,0,7,0,22,50,0,0,14
2026-08-12,1,01:00,60,0,0,41.0,0,0,29,0,0,19,0,0,0,0,2,36,0,8,39
2026-08-12,2,02:00,60,0,0,32.0,0,0,29,0,0,19,0,0,0,0,0,29,0,0,24
2026-08-12,3,03:00,60,0,0,38.0,0,0,29,0,0,26,0,0,0,0,0,36,0,0,21
2026-08-12,4,04:00,60,0,0,34.0,0,0,36,0,0,19,0,0,7,0,0,29,0,0,24
2026-08-12,5,05:00,60,0,0,38.0,0,0,21,0,0,19,0,0,7,0,0,29,0,0,14
2026-08-12,6,06:00,60,0,0,39.0,0,0,29,0,0,21,0,0,7,0,0,29,0,0,14
2026-08-12,7,07:00,60,0,0,42.0,0,0,29,0,0,36,0,0,7,0,29,43,0,0,36
2026-08-12,8,08:00,60,0,7,51.0,0,0,21,0,7,36,0,0,17,0,19,43,0,0,60
2026-08-12,9,09:00,60,0,14,56.0,0,47,50,0,3,40,0,0,7,0,24,50,0,8,39
2026-08-12,10,10:00,60,0,2,50.0,0,32,50,0,0,19,0,0,7,0,10,43,0,0,29
2026-08-12,11,11:00,60,0,0,38.0,0,6,43,0,0,19,0,0,0,0,0,36,0,0,29
2026-08-12,12,12:00,60,0,0,57.0,0,56,43,0,0,26,0,0,7,0,0,36,0,0,31
2026-08-12,13,13:00,60,0,0,50.0,0,20,50,0,0,39,0,0,0,0,0,36,0,25,46
2026-08-12,14,14:00,60,0,0,44.0,0,11,43,0,0,29,0,0,0,0,0,29,0,0,21
2026-08-12,15,15:00,60,6,0,45.0,6,5,50,0,0,33,0,0,7,0,30,43,0,0,24
2026-08-12,16,16:00,60,5,0,49.0,0,0,43,0,0,21,0,0,7,0,0,29,5,26,60
2026-08-12,17,17:00,60,0,0,47.0,0,56,50,0,0,21,0,0,0,0,0,29,0,2,36
2026-08-12,18,18:00,60,0,0,48.0,0,24,50,0,0,26,0,0,0,0,13,36,0,0,36
2026-08-12,19,19:00,60,0,0,46.0,0,49,50,0,0,26,0,0,0,0,0,36,0,0,14
2026-08-12,20,20:00,60,0,0,47.0,0,30,50,0,0,21,0,0,0,0,8,36,0,0,36
2026-08-12,21,21:00,60,12,0,50.0,12,15,50,0,0,21,0,0,0,0,0,36,0,0,21
2026-08-12,22,22:00,60,5,0,49.0,5,32,50,0,0,26,0,0,0,0,0,43,0,0,14
2026-08-12,23,23:00,60,0,0,41.0,0,5,43,0,0,19,0,0,7,0,21,43,0,0,46
2026-09-01,0,00:00,60,0,0,35.0,0,5,43,0,0,19,0,0,0,0,0,21,0,0,21
