index,seq_max,seq_last,future_max,down_amount,HUBROOMTOTAL,M16A_3F_STORAGE_UTIL,CD_M163FSTORAGEUTIL,M16A_3F_CMD
76,393.0,301.0,280.0,113.0,804.0,199.0,15.0,233.0
77,393.0,280.0,263.0,130.0,791.0,200.0,15.0,206.0
78,393.0,263.0,244.0,149.0,791.0,199.0,17.0,194.0
79,393.0,244.0,232.0,161.0,772.0,199.0,17.0,180.0
80,393.0,227.0,232.0,161.0,758.0,199.0,15.0,161.0
81,393.0,216.0,232.0,161.0,751.0,201.0,14.0,161.0
82,393.0,230.0,232.0,161.0,766.0,201.0,12.0,174.0
83,393.0,228.0,235.0,158.0,763.0,201.0,12.0,183.0
84,393.0,232.0,237.0,156.0,757.0,201.0,12.0,187.0
85,393.0,228.0,237.0,156.0,744.0,201.0,12.0,176.0
86,393.0,224.0,258.0,135.0,742.0,201.0,12.0,177.0
87,393.0,220.0,274.0,119.0,717.0,201.0,12.0,169.0
88,393.0,218.0,276.0,117.0,713.0,201.0,12.0,174.0
89,393.0,218.0,290.0,103.0,705.0,201.0,12.0,177.0
90,393.0,217.0,295.0,98.0,694.0,201.0,12.0,173.0
160,333.0,311.0,295.0,38.0,531.0,208.0,2.0,209.0
161,333.0,295.0,280.0,53.0,516.0,209.0,1.0,208.0
162,333.0,280.0,277.0,56.0,494.0,209.0,2.0,201.0
163,333.0,277.0,276.0,57.0,484.0,209.0,1.0,206.0
164,333.0,271.0,276.0,57.0,474.0,209.0,1.0,216.0
165,333.0,271.0,276.0,57.0,466.0,209.0,1.0,222.0
166,333.0,276.0,264.0,69.0,470.0,209.0,1.0,226.0
167,333.0,264.0,257.0,76.0,453.0,208.0,3.0,210.0
168,333.0,257.0,248.0,85.0,446.0,208.0,2.0,198.0
169,333.0,248.0,249.0,84.0,443.0,208.0,2.0,194.0
170,333.0,243.0,264.0,69.0,458.0,209.0,1.0,196.0
171,333.0,236.0,270.0,63.0,467.0,210.0,1.0,196.0
172,333.0,231.0,275.0,58.0,473.0,210.0,1.0,189.0
173,333.0,217.0,275.0,58.0,463.0,210.0,1.0,177.0
174,333.0,212.0,275.0,58.0,469.0,210.0,0.0,170.0
175,333.0,228.0,275.0,58.0,503.0,210.0,0.0,178.0
