영역,ALIAS,ORIGINAL_IDC_NM,변화량상관,설명
M16HUB,M16HUB_FABTRANSJOBCNT,M16HUB.QUE.ALL.FABTRANSJOBCNT,-0.020,FAB 전송 JOB
M16HUB,M16HUB_AVGTOTALTIME1MIN,M16HUB.QUE.TIME.AVGTOTALTIME1MIN,-0.044,1분 평균 시간
M16HUB,M16HUB_AVGTOTALTIME,M16HUB.QUE.TIME.AVGTOTALTIME,-0.137,평균 총 시간
M16HUB,M16HUB_CURRENTQCNT,M16HUB.QUE.ALL.CURRENTQCNT,-0.117,전체 큐 카운트
M16HUB,M16HUB_CURRENTOHTQCNT,M16HUB.QUE.OHT.CURRENTOHTQCNT,-0.362,OHT 큐 ⭐
M16HUB,M16HUB_OHTUTIL,M16HUB.QUE.OHT.OHTUTIL,-0.376,OHT 사용률 ⭐
M16HUB,M16HUB_CURRENTQCOMPLETED,M16HUB.QUE.ALL.CURRENTQCOMPLETED,-0.022,완료 큐
M16A,M16A_CURRENTQCOMPLETED,M16A.QUE.ALL.CURRENTQCOMPLETED,+0.013,완료 큐
M16A,M16A_CURRENTQCREATED,M16A.QUE.ALL.CURRENTQCREATED,-0.022,생성 큐
M16A,M16A_CURRENTOHTQCNT,M16A.QUE.OHT.CURRENTOHTQCNT,+0.069,OHT 큐
M16A,M16A_OHTUTIL,M16A.QUE.OHT.OHTUTIL,+0.070,OHT 사용률
M16A,M16A_AVGLOADTIME1MIN,M16A.QUE.LOAD.AVGLOADTIME1MIN,+0.008,1분 평균 로드
M16A,M16A_TRANSPORT4MINOVERCNT,M16A.QUE.ALL.TRANSPORT4MINOVERCNT,+0.018,4분 초과 건수
M16A,M16A_QUETIMEDELAY,M16A.QUE.ABN.QUETIMEDELAY,+0.022,큐 지연
