COMMANDID,MESSAGENAME,TEXT,LEVEL,MACHINENAME,TRANSACTIONID,CARRIER,UNITNAME,PROCESS,OPERATION_NAME,TIME_EX,THREAD,COMMAND
,,[ 2026-01-21 11:12:03.885 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.cmessage.interfaceManager.HostInterface.onMsg ] [ < ?xml version="1.0" encoding="UTF-8"? > < Envelop > < Header > < Factory > M14 < /Factory > < Environment > REAL < /Environment > < Sender_Node > MES < /Sender_Node > < Send_Process > MHS < /Send_Process > < Listen_Process > MCS < /Listen_Process > < Command > MHSMCS_TRANSPORT_JOB_SCHEDULE_REQ < /Command > < ReplySubjectName / > < /Header > < Body > < DATA DESTINATION="MCS" ORIGINATION="MHS" SEQUENCE_NAME="MHSMCS_TRANSPORT_JOB_SCHEDULE_REQ" TID="MHSMCS_TRANSPORT_JOB_SCHEDULE_REQ" > < MHSMCS_TRANSPORT_JOB_SCHEDULE_REQ > < SCHEDULE_INFO SEQUENCE_NO="20260121111203685055" REQUESTOR="SFAB" TRIGGER_EVENT_CODE="" BATCH_ID="" > < CARRIER_INFO_LIST > < CARRIER_INFO CARRIER_ID="4PDM0001" CARRIER_TYPE="FOUP" CARRIER_SUB_TYPE="Metal" LOT_ID="TE28204" SOURCE_ID="4ANZ40G1" SOURCE_TYPE="ZFS" DETAIL_SOURCE_ID="Partition1" PRIORITY="50" DESTINATION_ID="4AFC_M16" DESTINATION_TYPE="STOCKER_PORT" DETAIL_DESTINATION_ID="OUT" ROUTER="MHS" REASONCODE="" OPERATION_ID="L1021000B" DEFINITE_FLAG="NO" BATCH_SEQUENCE="" CURRENT_FLOOR="3F" DESTINATION_FLOOR="6F" SOURCE_FAB="M14" DESTINATION_FAB="M16" F_DESTINATION_ID="" F_DESTINATION_TYPE="" F_DETAIL_DESTINATION_ID="" / > < /CARRIER_INFO_LIST > < /SCHEDULE_INFO > < /MHSMCS_TRANSPORT_JOB_SCHEDULE_REQ > < /DATA > < /Body > < /Envelop > . transactionId=MCS2026012111120388504-EEbM. [GTXN:MCS2026012111120388504-EEbM] ],WELL,,'MCS2026012111120388504-EEbM,4PDM0001,,ts12_m14a,HostInterface.onMsg,[2026-01-21 11:12:03.885],Tibrv Dispatcher,MHSMCS_TRANSPORT_JOB_SCHEDULE_REQ
,UI-CARRIER,[ 2026-01-21 11:12:03.897 ] [ WELL ] [ THREAD-ID=519 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ANZ40G1 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDM0001 < /CARRIERNAME > < MACHINENAME > 4ANZ40G1 < /MACHINENAME > < UNITNAME > 4ANZ40-128 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > COMPLETED < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M14 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM14.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2026012111120388504-EEbM. [GTXN:MCS2026012111120388504-EEbM] ],WELL,4ANZ40G1,'MCS2026012111120388504-EEbM,4PDM0001,4ANZ40-128,ts12_m14a,UiSenderEx.send,[2026-01-21 11:12:03.897],THREAD-ID=519,
,,[ 2026-01-21 11:12:03.910 ] [ WELL ] [ THREAD-ID=519 ] [ kr.co.aim.nanotrans.server.extension.framework.material.impl.MaterialManagerExImpl.updateCarrierHostDestData ] [ updateCarrierHostDestData. Carrier[4PDM0001]. HostDestData[ | | | ].. transactionId=MCS2026012111120388504-EEbM. [GTXN:MCS2026012111120388504-EEbM] ],WELL,,'MCS2026012111120388504-EEbM,,,ts12_m14a,MaterialManagerExImpl.updateCarrierHostDestData,[2026-01-21 11:12:03.910],THREAD-ID=519,
,UI-CARRIER,[ 2026-01-21 11:12:03.913 ] [ WELL ] [ THREAD-ID=519 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ANZ40G1 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDM0001 < /CARRIERNAME > < MACHINENAME > 4ANZ40G1 < /MACHINENAME > < UNITNAME > 4ANZ40-128 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > COMPLETED < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M14 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM14.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2026012111120388504-EEbM. [GTXN:MCS2026012111120388504-EEbM] ],WELL,4ANZ40G1,'MCS2026012111120388504-EEbM,4PDM0001,4ANZ40-128,ts12_m14a,UiSenderEx.send,[2026-01-21 11:12:03.913],THREAD-ID=519,
,UI-CARRIER,[ 2026-01-21 11:12:03.929 ] [ WELL ] [ THREAD-ID=519 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ANZ40G1 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDM0001 < /CARRIERNAME > < MACHINENAME > 4ANZ40G1 < /MACHINENAME > < UNITNAME > 4ANZ40-128 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > COMPLETED < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M14 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM14.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2026012111120388504-EEbM. [GTXN:MCS2026012111120388504-EEbM] ],WELL,4ANZ40G1,'MCS2026012111120388504-EEbM,4PDM0001,4ANZ40-128,ts12_m14a,UiSenderEx.send,[2026-01-21 11:12:03.929],THREAD-ID=519,
,UI-CARRIER,[ 2026-01-21 11:12:03.932 ] [ WELL ] [ THREAD-ID=519 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ANZ40G1 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDM0001 < /CARRIERNAME > < MACHINENAME > 4ANZ40G1 < /MACHINENAME > < UNITNAME > 4ANZ40-128 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > COMPLETED < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M14 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM14.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2026012111120388504-EEbM. [GTXN:MCS2026012111120388504-EEbM] ],WELL,4ANZ40G1,'MCS2026012111120388504-EEbM,4PDM0001,4ANZ40-128,ts12_m14a,UiSenderEx.send,[2026-01-21 11:12:03.932],THREAD-ID=519,
,UI-CARRIER,[ 2026-01-21 11:12:03.934 ] [ WELL ] [ THREAD-ID=519 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ANZ40G1 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDM0001 < /CARRIERNAME > < MACHINENAME > 4ANZ40G1 < /MACHINENAME > < UNITNAME > 4ANZ40-128 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > COMPLETED < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M14 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM14.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2026012111120388504-EEbM. [GTXN:MCS2026012111120388504-EEbM] ],WELL,4ANZ40G1,'MCS2026012111120388504-EEbM,4PDM0001,4ANZ40-128,ts12_m14a,UiSenderEx.send,[2026-01-21 11:12:03.934],THREAD-ID=519,
,VM-FABTRANSPORTJOBCREATED,[ 2026-01-21 11:12:03.993 ] [ WELL ] [ THREAD-ID=519 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.MsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > VM-FABTRANSPORTJOBCREATED < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > M14-M16B < /MACHINENAME > < CONNECTIONID / > < USERNAME > SFAB < /USERNAME > < /ORIGINATED > < DATA > < CEID > 2 < /CEID > < CARRIERID > 4PDM0001 < /CARRIERID > < STATE > CREATED < /STATE > < LOTID > TE28204 < /LOTID > < TYPE > FOUP < /TYPE > < PROCESSTYPE > FOUP < /PROCESSTYPE > < SOURCEFABNAME > M14 < /SOURCEFABNAME > < SOURCEFLOORNAME > 3F < /SOURCEFLOORNAME > < SOURCEMACHINENAME > 4ANZ40G1 < /SOURCEMACHINENAME > < SOURCEUNITNAME > 4ANZ40G1_Partition1 < /SOURCEUNITNAME > < DESTFABNAME > M16 < /DESTFABNAME > < DESTFLOORNAME > 6F < /DESTFLOORNAME > < DESTMACHINENAME > 4AFC_M16 < /DESTMACHINENAME > < DESTUNITNAME > 4AFC_M16_OUT < /DESTUNITNAME > < CURRENTFABNAME > M14 < /CURRENTFABNAME > < CURRENTFLOORNAME > 3F < /CURRENTFLOORNAME > < CURRENTMACHINENAME > 4ANZ40G1 < /CURRENTMACHINENAME > < CURRENTUNITNAME > 4ANZ40-128 < /CURRENTUNITNAME > < TRANSPORTJOBID > N4PDM000120260121111203 < /TRANSPORTJOBID > < PRIORITY > 50 < /PRIORITY > < USERNAME > SFAB < /USERNAME > < CMDTYPE / > < /DATA > < TAIL / > < /MESSAGE > was sent to M14.REAL.NANOTRANS.EM.MS01_VM_P. transactionId=MCS2026012111120388504-EEbM. [GTXN:MCS2026012111120388504-EEbM] ],WELL,M14-M16B,'MCS2026012111120388504-EEbM,4PDM0001,,ts12_m14a,MsSender.send,[2026-01-21 11:12:03.993],THREAD-ID=519,
,VM-FABTRANSPORTJOBCREATED,[ 2026-01-21 11:12:03.997 ] [ WELL ] [ THREAD-ID=519 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.MsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > VM-FABTRANSPORTJOBCREATED < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > M14-M16 < /MACHINENAME > < CONNECTIONID / > < USERNAME > SFAB < /USERNAME > < /ORIGINATED > < DATA > < CEID > 2 < /CEID > < CARRIERID > 4PDM0001 < /CARRIERID > < STATE > CREATED < /STATE > < LOTID > TE28204 < /LOTID > < TYPE > FOUP < /TYPE > < PROCESSTYPE > FOUP < /PROCESSTYPE > < SOURCEFABNAME > M14 < /SOURCEFABNAME > < SOURCEFLOORNAME > 3F < /SOURCEFLOORNAME > < SOURCEMACHINENAME > 4ANZ40G1 < /SOURCEMACHINENAME > < SOURCEUNITNAME > 4ANZ40G1_Partition1 < /SOURCEUNITNAME > < DESTFABNAME > M16 < /DESTFABNAME > < DESTFLOORNAME > 6F < /DESTFLOORNAME > < DESTMACHINENAME > 4AFC_M16 < /DESTMACHINENAME > < DESTUNITNAME > 4AFC_M16_OUT < /DESTUNITNAME > < CURRENTFABNAME > M14 < /CURRENTFABNAME > < CURRENTFLOORNAME > 3F < /CURRENTFLOORNAME > < CURRENTMACHINENAME > 4ANZ40G1 < /CURRENTMACHINENAME > < CURRENTUNITNAME > 4ANZ40-128 < /CURRENTUNITNAME > < TRANSPORTJOBID > N4PDM000120260121111203 < /TRANSPORTJOBID > < PRIORITY > 50 < /PRIORITY > < USERNAME > SFAB < /USERNAME > < CMDTYPE / > < /DATA > < TAIL / > < /MESSAGE > was sent to M14.REAL.NANOTRANS.EM.MS01_VM_P. transactionId=MCS2026012111120388504-EEbM. [GTXN:MCS2026012111120388504-EEbM] ],WELL,M14-M16,'MCS2026012111120388504-EEbM,4PDM0001,,ts12_m14a,MsSender.send,[2026-01-21 11:12:03.997],THREAD-ID=519,
,VM-FABTRANSPORTJOBCREATED,[ 2026-01-21 11:12:04.002 ] [ WELL ] [ THREAD-ID=519 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.MsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > VM-FABTRANSPORTJOBCREATED < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > M14-M14B < /MACHINENAME > < CONNECTIONID / > < USERNAME > SFAB < /USERNAME > < /ORIGINATED > < DATA > < CEID > 2 < /CEID > < CARRIERID > 4PDM0001 < /CARRIERID > < STATE > CREATED < /STATE > < LOTID > TE28204 < /LOTID > < TYPE > FOUP < /TYPE > < PROCESSTYPE > FOUP < /PROCESSTYPE > < SOURCEFABNAME > M14 < /SOURCEFABNAME > < SOURCEFLOORNAME > 3F < /SOURCEFLOORNAME > < SOURCEMACHINENAME > 4ANZ40G1 < /SOURCEMACHINENAME > < SOURCEUNITNAME > 4ANZ40G1_Partition1 < /SOURCEUNITNAME > < DESTFABNAME > M16 < /DESTFABNAME > < DESTFLOORNAME > 6F < /DESTFLOORNAME > < DESTMACHINENAME > 4AFC_M16 < /DESTMACHINENAME > < DESTUNITNAME > 4AFC_M16_OUT < /DESTUNITNAME > < CURRENTFABNAME > M14 < /CURRENTFABNAME > < CURRENTFLOORNAME > 3F < /CURRENTFLOORNAME > < CURRENTMACHINENAME > 4ANZ40G1 < /CURRENTMACHINENAME > < CURRENTUNITNAME > 4ANZ40-128 < /CURRENTUNITNAME > < TRANSPORTJOBID > N4PDM000120260121111203 < /TRANSPORTJOBID > < PRIORITY > 50 < /PRIORITY > < USERNAME > SFAB < /USERNAME > < CMDTYPE / > < /DATA > < TAIL / > < /MESSAGE > was sent to M14.REAL.NANOTRANS.EM.MS01_VM_P. transactionId=MCS2026012111120388504-EEbM. [GTXN:MCS2026012111120388504-EEbM] ],WELL,M14-M14B,'MCS2026012111120388504-EEbM,4PDM0001,,ts12_m14a,MsSender.send,[2026-01-21 11:12:04.002],THREAD-ID=519,
