COMMANDID,MESSAGENAME,TEXT,LEVEL,MACHINENAME,TRANSACTIONID,CARRIER,UNITNAME,PROCESS,OPERATION_NAME,TIME_EX,THREAD,COMMAND
,,[ 2025-12-29 17:31:10.093 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.cmessage.interfaceManager.HostInterface.onMsg ] [ < ?xml version="1.0" encoding="UTF-8"? > < Envelop > < Header > < Factory > M14 < /Factory > < Environment > REAL < /Environment > < Sender_Node > MES < /Sender_Node > < Send_Process > MHS < /Send_Process > < Listen_Process > MCS < /Listen_Process > < Command > MHSMCS_TRANSPORT_JOB_SCHEDULE_REQ < /Command > < ReplySubjectName / > < /Header > < Body > < DATA DESTINATION="MCS" ORIGINATION="MHS" SEQUENCE_NAME="MHSMCS_TRANSPORT_JOB_SCHEDULE_REQ" TID="MHSMCS_TRANSPORT_JOB_SCHEDULE_REQ" > < MHSMCS_TRANSPORT_JOB_SCHEDULE_REQ > < SCHEDULE_INFO SEQUENCE_NO="20251229173109913558" REQUESTOR="SFAB" TRIGGER_EVENT_CODE="" BATCH_ID="" > < CARRIER_INFO_LIST > < CARRIER_INFO CARRIER_ID="4PDML395" CARRIER_TYPE="FOUP" CARRIER_SUB_TYPE="Metal" LOT_ID="TE25160" SOURCE_ID="4ANZ53G1" SOURCE_TYPE="ZFS" DETAIL_SOURCE_ID="Partition1" PRIORITY="50" DESTINATION_ID="4AFC_M16" DESTINATION_TYPE="STOCKER_PORT" DETAIL_DESTINATION_ID="OUT" ROUTER="MHS" REASONCODE="" OPERATION_ID="J3050000C" DEFINITE_FLAG="NO" BATCH_SEQUENCE="" CURRENT_FLOOR="3F" DESTINATION_FLOOR="6F" SOURCE_FAB="M14" DESTINATION_FAB="M16" F_DESTINATION_ID="" F_DESTINATION_TYPE="" F_DETAIL_DESTINATION_ID="" / > < /CARRIER_INFO_LIST > < /SCHEDULE_INFO > < /MHSMCS_TRANSPORT_JOB_SCHEDULE_REQ > < /DATA > < /Body > < /Envelop > . transactionId=MCS2025122917311009304-mnex. [GTXN:MCS2025122917311009304-mnex] ],WELL,,'MCS2025122917311009304-mnex,4PDML395,,ts15_m14a,HostInterface.onMsg,[2025-12-29 17:31:10.093],Tibrv Dispatcher,MHSMCS_TRANSPORT_JOB_SCHEDULE_REQ
,UI-CARRIER,[ 2025-12-29 17:31:10.104 ] [ WELL ] [ THREAD-ID=459 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ANZ53G1 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 4ANZ53G1 < /MACHINENAME > < UNITNAME > 4ANZ53-411 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > COMPLETED < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M14 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM14.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917311009304-mnex. [GTXN:MCS2025122917311009304-mnex] ],WELL,4ANZ53G1,'MCS2025122917311009304-mnex,4PDML395,4ANZ53-411,ts15_m14a,UiSenderEx.send,[2025-12-29 17:31:10.104],THREAD-ID=459,
,,[ 2025-12-29 17:31:10.118 ] [ WELL ] [ THREAD-ID=459 ] [ kr.co.aim.nanotrans.server.extension.framework.material.impl.MaterialManagerExImpl.updateCarrierHostDestData ] [ updateCarrierHostDestData. Carrier[4PDML395]. HostDestData[ | | | ].. transactionId=MCS2025122917311009304-mnex. [GTXN:MCS2025122917311009304-mnex] ],WELL,,'MCS2025122917311009304-mnex,,,ts15_m14a,MaterialManagerExImpl.updateCarrierHostDestData,[2025-12-29 17:31:10.118],THREAD-ID=459,
,UI-CARRIER,[ 2025-12-29 17:31:10.121 ] [ WELL ] [ THREAD-ID=459 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ANZ53G1 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 4ANZ53G1 < /MACHINENAME > < UNITNAME > 4ANZ53-411 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > COMPLETED < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M14 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM14.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917311009304-mnex. [GTXN:MCS2025122917311009304-mnex] ],WELL,4ANZ53G1,'MCS2025122917311009304-mnex,4PDML395,4ANZ53-411,ts15_m14a,UiSenderEx.send,[2025-12-29 17:31:10.121],THREAD-ID=459,
,UI-CARRIER,[ 2025-12-29 17:31:10.137 ] [ WELL ] [ THREAD-ID=459 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ANZ53G1 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 4ANZ53G1 < /MACHINENAME > < UNITNAME > 4ANZ53-411 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > COMPLETED < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M14 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM14.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917311009304-mnex. [GTXN:MCS2025122917311009304-mnex] ],WELL,4ANZ53G1,'MCS2025122917311009304-mnex,4PDML395,4ANZ53-411,ts15_m14a,UiSenderEx.send,[2025-12-29 17:31:10.137],THREAD-ID=459,
,UI-CARRIER,[ 2025-12-29 17:31:10.140 ] [ WELL ] [ THREAD-ID=459 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ANZ53G1 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 4ANZ53G1 < /MACHINENAME > < UNITNAME > 4ANZ53-411 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > COMPLETED < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M14 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM14.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917311009304-mnex. [GTXN:MCS2025122917311009304-mnex] ],WELL,4ANZ53G1,'MCS2025122917311009304-mnex,4PDML395,4ANZ53-411,ts15_m14a,UiSenderEx.send,[2025-12-29 17:31:10.140],THREAD-ID=459,
,UI-CARRIER,[ 2025-12-29 17:31:10.143 ] [ WELL ] [ THREAD-ID=459 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ANZ53G1 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 4ANZ53G1 < /MACHINENAME > < UNITNAME > 4ANZ53-411 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > COMPLETED < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M14 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM14.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917311009304-mnex. [GTXN:MCS2025122917311009304-mnex] ],WELL,4ANZ53G1,'MCS2025122917311009304-mnex,4PDML395,4ANZ53-411,ts15_m14a,UiSenderEx.send,[2025-12-29 17:31:10.143],THREAD-ID=459,
,VM-FABTRANSPORTJOBCREATED,[ 2025-12-29 17:31:10.211 ] [ WELL ] [ THREAD-ID=459 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.MsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > VM-FABTRANSPORTJOBCREATED < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > M14-M16B < /MACHINENAME > < CONNECTIONID / > < USERNAME > SFAB < /USERNAME > < /ORIGINATED > < DATA > < CEID > 2 < /CEID > < CARRIERID > 4PDML395 < /CARRIERID > < STATE > CREATED < /STATE > < LOTID > TE25160 < /LOTID > < TYPE > FOUP < /TYPE > < PROCESSTYPE > FOUP < /PROCESSTYPE > < SOURCEFABNAME > M14 < /SOURCEFABNAME > < SOURCEFLOORNAME > 3F < /SOURCEFLOORNAME > < SOURCEMACHINENAME > 4ANZ53G1 < /SOURCEMACHINENAME > < SOURCEUNITNAME > 4ANZ53G1_Partition1 < /SOURCEUNITNAME > < DESTFABNAME > M16 < /DESTFABNAME > < DESTFLOORNAME > 6F < /DESTFLOORNAME > < DESTMACHINENAME > 4AFC_M16 < /DESTMACHINENAME > < DESTUNITNAME > 4AFC_M16_OUT < /DESTUNITNAME > < CURRENTFABNAME > M14 < /CURRENTFABNAME > < CURRENTFLOORNAME > 3F < /CURRENTFLOORNAME > < CURRENTMACHINENAME > 4ANZ53G1 < /CURRENTMACHINENAME > < CURRENTUNITNAME > 4ANZ53-411 < /CURRENTUNITNAME > < TRANSPORTJOBID > N4PDML39520251229173110 < /TRANSPORTJOBID > < PRIORITY > 50 < /PRIORITY > < USERNAME > SFAB < /USERNAME > < CMDTYPE / > < /DATA > < TAIL / > < /MESSAGE > was sent to M14.REAL.NANOTRANS.EM.MS01_VM_P. transactionId=MCS2025122917311009304-mnex. [GTXN:MCS2025122917311009304-mnex] ],WELL,M14-M16B,'MCS2025122917311009304-mnex,4PDML395,,ts15_m14a,MsSender.send,[2025-12-29 17:31:10.211],THREAD-ID=459,
,VM-TRANSPORTJOBCREATED,[ 2025-12-29 17:31:10.215 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > VM-TRANSPORTJOBCREATED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917311021504-ZCrp < /TRANSACTIONID > < CONVERSATIONID > c4857928-ecb6-4d63-9679-72d5bca70c35 < /CONVERSATIONID > < TIME > 2025-12-29 17:31:10.213 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > M14-M16B < /MACHINENAME > < CONNECTIONID > M14-M16B < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < CEID > 2 < /CEID > < LIST > < CARRIERID > 4PDML395 < /CARRIERID > < STATE > CREATED < /STATE > < LOTID > TE25160 < /LOTID > < TYPE > FOUP < /TYPE > < PROCESSTYPE > FOUP < /PROCESSTYPE > < SOURCEFABNAME > M14 < /SOURCEFABNAME > < SOURCEFLOORNAME > 3F < /SOURCEFLOORNAME > < SOURCEMACHINENAME > 4ANZ53G1 < /SOURCEMACHINENAME > < SOURCEUNITNAME > 4ANZ53G1_Partition1 < /SOURCEUNITNAME > < DESTFABNAME > M16 < /DESTFABNAME > < DESTFLOORNAME > 6F < /DESTFLOORNAME > < DESTMACHINENAME > 4AFC_M16 < /DESTMACHINENAME > < DESTUNITNAME > 4AFC_M16_OUT < /DESTUNITNAME > < CURRENTFABNAME > M14 < /CURRENTFABNAME > < CURRENTFLOORNAME > 3F < /CURRENTFLOORNAME > < CURRENTMACHINENAME > 4ANZ53G1 < /CURRENTMACHINENAME > < CURRENTUNITNAME > 4ANZ53-411 < /CURRENTUNITNAME > < TRANSPORTJOBID > N4PDML39520251229173110 < /TRANSPORTJOBID > < PRIORITY > 50 < /PRIORITY > < USERNAME > SFAB < /USERNAME > < CMDTYPE / > < /LIST > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S11F69:FabTransportJobInfo [D=1] [len=199] [SB=38286373] < L.2 < U2.1 [CEID] '2' > < L.21 < A.8 [CARRIERID] '4PDML395' > < A.7 [STATE] 'CREATED' > < A.7 [LOTID] 'TE25160' > < A.4 [TYPE] 'FOUP' > < A.4 [PROCESSTYPE] 'FOUP' > < A.3 [SOURCEFABNAME] 'M14' > < A.2 [SOURCEFLOORNAME] '3F' > < A.8 [SOURCEMACHINENAME] '4ANZ53G1' > < A.19 [SOURCEUNITNAME] '4ANZ53G1_Partition1' > < A.3 [DESTFABNAME] 'M16' > < A.2 [DESTFLOORNAME] '6F' > < A.8 [DESTMACHINENAME] '4AFC_M16' > < A.12 [DESTUNITNAME] '4AFC_M16_OUT' > < A.3 [CURRENTFABNAME] 'M14' > < A.2 [CURRENTFLOORNAME] '3F' > < A.8 [CURRENTMACHINENAME] '4ANZ53G1' > < A.10 [CURRENTUNITNAME] '4ANZ53-411' > < A.23 [TRANSPORTJOBID] 'N4PDML39520251229173110' > < A.2 [PRIORITY] '50' > < A.4 [USERNAME] 'SFAB' > < A.0 [CMDTYPE] '' > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917311021504-ZCrp. [GTXN:MCS2025122917311021504-ZCrp] ],WELL,M14-M16B,'MCS2025122917311021504-ZCrp,4PDML395,,ts13_m16b,EsListener.onMsg,[2025-12-29 17:31:10.215],Tibrv Dispatcher,
,VM-FABTRANSPORTJOBCREATED,[ 2025-12-29 17:31:10.216 ] [ WELL ] [ THREAD-ID=459 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.MsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > VM-FABTRANSPORTJOBCREATED < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > M14-M16 < /MACHINENAME > < CONNECTIONID / > < USERNAME > SFAB < /USERNAME > < /ORIGINATED > < DATA > < CEID > 2 < /CEID > < CARRIERID > 4PDML395 < /CARRIERID > < STATE > CREATED < /STATE > < LOTID > TE25160 < /LOTID > < TYPE > FOUP < /TYPE > < PROCESSTYPE > FOUP < /PROCESSTYPE > < SOURCEFABNAME > M14 < /SOURCEFABNAME > < SOURCEFLOORNAME > 3F < /SOURCEFLOORNAME > < SOURCEMACHINENAME > 4ANZ53G1 < /SOURCEMACHINENAME > < SOURCEUNITNAME > 4ANZ53G1_Partition1 < /SOURCEUNITNAME > < DESTFABNAME > M16 < /DESTFABNAME > < DESTFLOORNAME > 6F < /DESTFLOORNAME > < DESTMACHINENAME > 4AFC_M16 < /DESTMACHINENAME > < DESTUNITNAME > 4AFC_M16_OUT < /DESTUNITNAME > < CURRENTFABNAME > M14 < /CURRENTFABNAME > < CURRENTFLOORNAME > 3F < /CURRENTFLOORNAME > < CURRENTMACHINENAME > 4ANZ53G1 < /CURRENTMACHINENAME > < CURRENTUNITNAME > 4ANZ53-411 < /CURRENTUNITNAME > < TRANSPORTJOBID > N4PDML39520251229173110 < /TRANSPORTJOBID > < PRIORITY > 50 < /PRIORITY > < USERNAME > SFAB < /USERNAME > < CMDTYPE / > < /DATA > < TAIL / > < /MESSAGE > was sent to M14.REAL.NANOTRANS.EM.MS01_VM_P. transactionId=MCS2025122917311009304-mnex. [GTXN:MCS2025122917311009304-mnex] ],WELL,M14-M16,'MCS2025122917311009304-mnex,4PDML395,,ts15_m14a,MsSender.send,[2025-12-29 17:31:10.216],THREAD-ID=459,
,VM-FABTRANSPORTJOBCREATED,[ 2025-12-29 17:31:10.222 ] [ WELL ] [ THREAD-ID=459 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.MsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > VM-FABTRANSPORTJOBCREATED < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > M14-M14B < /MACHINENAME > < CONNECTIONID / > < USERNAME > SFAB < /USERNAME > < /ORIGINATED > < DATA > < CEID > 2 < /CEID > < CARRIERID > 4PDML395 < /CARRIERID > < STATE > CREATED < /STATE > < LOTID > TE25160 < /LOTID > < TYPE > FOUP < /TYPE > < PROCESSTYPE > FOUP < /PROCESSTYPE > < SOURCEFABNAME > M14 < /SOURCEFABNAME > < SOURCEFLOORNAME > 3F < /SOURCEFLOORNAME > < SOURCEMACHINENAME > 4ANZ53G1 < /SOURCEMACHINENAME > < SOURCEUNITNAME > 4ANZ53G1_Partition1 < /SOURCEUNITNAME > < DESTFABNAME > M16 < /DESTFABNAME > < DESTFLOORNAME > 6F < /DESTFLOORNAME > < DESTMACHINENAME > 4AFC_M16 < /DESTMACHINENAME > < DESTUNITNAME > 4AFC_M16_OUT < /DESTUNITNAME > < CURRENTFABNAME > M14 < /CURRENTFABNAME > < CURRENTFLOORNAME > 3F < /CURRENTFLOORNAME > < CURRENTMACHINENAME > 4ANZ53G1 < /CURRENTMACHINENAME > < CURRENTUNITNAME > 4ANZ53-411 < /CURRENTUNITNAME > < TRANSPORTJOBID > N4PDML39520251229173110 < /TRANSPORTJOBID > < PRIORITY > 50 < /PRIORITY > < USERNAME > SFAB < /USERNAME > < CMDTYPE / > < /DATA > < TAIL / > < /MESSAGE > was sent to M14.REAL.NANOTRANS.EM.MS01_VM_P. transactionId=MCS2025122917311009304-mnex. [GTXN:MCS2025122917311009304-mnex] ],WELL,M14-M14B,'MCS2025122917311009304-mnex,4PDML395,,ts15_m14a,MsSender.send,[2025-12-29 17:31:10.222],THREAD-ID=459,
