COMMANDID,MESSAGENAME,TEXT,LEVEL,MACHINENAME,TRANSACTIONID,CARRIER,UNITNAME,PROCESS,OPERATION_NAME,TIME_EX,THREAD,COMMAND
,STORAGE-ZIPTOWERCARRIERWAITOUT,[ 2025-12-29 17:45:49.604 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > STORAGE-ZIPTOWERCARRIERWAITOUT < /MESSAGENAME > < TRANSACTIONID > MCS2025122917454960404-W9Ax < /TRANSACTIONID > < CONVERSATIONID > 6018e97a-1d00-4cfe-82a0-7d4dd6d671dd < /CONVERSATIONID > < TIME > 2025-12-29 17:45:49.601 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ABL6022 < /MACHINENAME > < CONNECTIONID > 6ABL6022 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 159 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 6 < /RPTID > < VCOUNT > < CARRIERINFO > < CARRIERID > 4PDML395 < /CARRIERID > < CARRIERLOC > 6ABL6022_OP623 < /CARRIERLOC > < /CARRIERINFO > < PORTTYPE > OP < /PORTTYPE > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:EventRPTID6 W [D=1] [len=64] [SB=62839231] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '159' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '6' > < L.2 [VCOUNT] < L.2 [CARRIERINFO] < A.8 [CARRIERID] '4PDML395' > < A.14 [CARRIERLOC] '6ABL6022_OP623' > > < A.2 [PORTTYPE] 'OP' > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917454960404-W9Ax. [GTXN:MCS2025122917454960404-W9Ax] ],WELL,6ABL6022,'MCS2025122917454960404-W9Ax,4PDML395,,ts05_m16a,EsListener.onMsg,[2025-12-29 17:45:49.604],Tibrv Dispatcher,
,STORAGE-ZIPTOWERCARRIERLOCATIONCHANGED,[ 2025-12-29 17:45:49.604 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > STORAGE-ZIPTOWERCARRIERLOCATIONCHANGED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917454960304-UCRF < /TRANSACTIONID > < CONVERSATIONID > 971c0b38-1ee3-4721-b7ea-437c443f51c2 < /CONVERSATIONID > < TIME > 2025-12-29 17:45:49.600 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ABL6022 < /MACHINENAME > < CONNECTIONID > 6ABL6022 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 255 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 4 < /RPTID > < VCOUNT > < CARRIERINFO > < CARRIERID > 4PDML395 < /CARRIERID > < CARRIERLOC > 6ABL6022_OP623 < /CARRIERLOC > < /CARRIERINFO > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:EventRPTID4 W [D=1] [len=60] [SB=62839230] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '255' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '4' > < L.1 [VCOUNT] < L.2 [CARRIERINFO] < A.8 [CARRIERID] '4PDML395' > < A.14 [CARRIERLOC] '6ABL6022_OP623' > > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917454960304-UCRF. [GTXN:MCS2025122917454960304-UCRF] ],WELL,6ABL6022,'MCS2025122917454960304-UCRF,4PDML395,,ts04_m16a,EsListener.onMsg,[2025-12-29 17:45:49.604],Tibrv Dispatcher,
,UI-CARRIER,[ 2025-12-29 17:45:49.640 ] [ WELL ] [ THREAD-ID=342 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ABL6022 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 6ABL6022 < /MACHINENAME > < UNITNAME > 6ABL6022_OP623 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > TRANSFERRING < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > T < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M16 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM16.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917454960404-W9Ax. [GTXN:MCS2025122917454960404-W9Ax] ],WELL,6ABL6022,'MCS2025122917454960404-W9Ax,4PDML395,6ABL6022_OP623,ts05_m16a,UiSenderEx.send,[2025-12-29 17:45:49.640],THREAD-ID=342,
,RAIL-STAGECOMMAND,[ 2025-12-29 17:45:49.674 ] [ WELL ] [ THREAD-ID=342 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > RAIL-STAGECOMMAND < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME > 2025-12-29 17:45:49.671 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ACM3901 < /MACHINENAME > < CONNECTIONID / > < USERNAME > NANOTRANS < /USERNAME > < /ORIGINATED > < DATA > < STAGEID > 6173ea58-3e00-461c-a4af-2ccca6c2f76b < /STAGEID > < PRIORITY > 50 < /PRIORITY > < EXPECTEDDURATION > 30 < /EXPECTEDDURATION > < NOBLOCKINGTIME > 15 < /NOBLOCKINGTIME > < WAITTIMEOUT > 5 < /WAITTIMEOUT > < CARRIERID > 4PDML395 < /CARRIERID > < DESTPORT > 6ABL6022_AI623 < /DESTPORT > < RESULTCODE / > < /DATA > < TAIL / > < /MESSAGE > was sent to M16.REAL.NANOTRANS.MCSEIF.EI01_M16A_OHT_P. transactionId=MCS2025122917454960404-W9Ax. [GTXN:MCS2025122917454960404-W9Ax] ],WELL,6ACM3901,'MCS2025122917454960404-W9Ax,4PDML395,,ts05_m16a,EsSender.send,[2025-12-29 17:45:49.674],THREAD-ID=342,
,RAIL-STAGECOMMAND,[ 2025-12-29 17:45:49.677 ] [ WELL ] [ THREAD-ID=342 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > RAIL-STAGECOMMAND < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME > 2025-12-29 17:45:49.671 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ACM3901 < /MACHINENAME > < CONNECTIONID / > < USERNAME > NANOTRANS < /USERNAME > < /ORIGINATED > < DATA > < STAGEID > 6173ea58-3e00-461c-a4af-2ccca6c2f76b < /STAGEID > < PRIORITY > 50 < /PRIORITY > < EXPECTEDDURATION > 30 < /EXPECTEDDURATION > < NOBLOCKINGTIME > 15 < /NOBLOCKINGTIME > < WAITTIMEOUT > 5 < /WAITTIMEOUT > < CARRIERID > 4PDML395 < /CARRIERID > < DESTPORT > 6ABL6022_AI623 < /DESTPORT > < RESULTCODE / > < /DATA > < TAIL / > < /MESSAGE > was sent to M16.REAL.NANOTRANS.MCSEIF.EI01_M16A_OHT_S. transactionId=MCS2025122917454960404-W9Ax. [GTXN:MCS2025122917454960404-W9Ax] ],WELL,6ACM3901,'MCS2025122917454960404-W9Ax,4PDML395,,ts05_m16a,EsSender.send,[2025-12-29 17:45:49.677],THREAD-ID=342,
,RAIL-STAGEREPLY,[ 2025-12-29 17:45:49.734 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-STAGEREPLY < /MESSAGENAME > < TRANSACTIONID > MCS2025122917454973404-ozwt < /TRANSACTIONID > < CONVERSATIONID > 2e55082e-ec81-47d5-9028-f60d09d0f7bc < /CONVERSATIONID > < TIME > 2025-12-29 17:45:49.671 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ACM3901 < /MACHINENAME > < CONNECTIONID / > < USERNAME > NANOTRANS < /USERNAME > < /ORIGINATED > < DATA > < STAGEID > 6173ea58-3e00-461c-a4af-2ccca6c2f76b < /STAGEID > < PRIORITY > 50 < /PRIORITY > < EXPECTEDDURATION > 30 < /EXPECTEDDURATION > < NOBLOCKINGTIME > 15 < /NOBLOCKINGTIME > < WAITTIMEOUT > 5 < /WAITTIMEOUT > < CARRIERID > 4PDML395 < /CARRIERID > < DESTPORT > 6ABL6022_AI623 < /DESTPORT > < RESULTCODE > 0 < /RESULTCODE > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S2F50:EnhancedHostCommandAcknowledgeNew1 [D=6] [len=17] [SB=108832121] < L.2 < B.1 [HCACK] '0' > < L.0 [CPCOUNT] > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917454973404-ozwt. [GTXN:MCS2025122917454973404-ozwt] ],WELL,6ACM3901,'MCS2025122917454973404-ozwt,4PDML395,,ts15_m16a,EsListener.onMsg,[2025-12-29 17:45:49.734],Tibrv Dispatcher,
,STORAGE-ZIPTOWERCARRIERLOCATIONCHANGED,[ 2025-12-29 17:45:54.470 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > STORAGE-ZIPTOWERCARRIERLOCATIONCHANGED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917455447004-icJA < /TRANSACTIONID > < CONVERSATIONID > a4dfebee-2ed7-4ea2-a69a-3851b8b03971 < /CONVERSATIONID > < TIME > 2025-12-29 17:45:54.467 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ABL6022 < /MACHINENAME > < CONNECTIONID > 6ABL6022 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 255 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 4 < /RPTID > < VCOUNT > < CARRIERINFO > < CARRIERID > 4PDML395 < /CARRIERID > < CARRIERLOC > 6ABL6022_AI623_B1 < /CARRIERLOC > < /CARRIERINFO > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:EventRPTID4 W [D=1] [len=63] [SB=62839250] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '255' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '4' > < L.1 [VCOUNT] < L.2 [CARRIERINFO] < A.8 [CARRIERID] '4PDML395' > < A.17 [CARRIERLOC] '6ABL6022_AI623_B1' > > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917455447004-icJA. [GTXN:MCS2025122917455447004-icJA] ],WELL,6ABL6022,'MCS2025122917455447004-icJA,4PDML395,,ts05_m16a,EsListener.onMsg,[2025-12-29 17:45:54.470],Tibrv Dispatcher,
,UI-CARRIER,[ 2025-12-29 17:45:54.503 ] [ WELL ] [ THREAD-ID=401 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ABL6022 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 6ABL6022 < /MACHINENAME > < UNITNAME > 6ABL6022_AI623_B1 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > TRANSFERRING < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > T < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M16 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM16.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917455447004-icJA. [GTXN:MCS2025122917455447004-icJA] ],WELL,6ABL6022,'MCS2025122917455447004-icJA,4PDML395,6ABL6022_AI623_B1,ts05_m16a,UiSenderEx.send,[2025-12-29 17:45:54.503],THREAD-ID=401,
,STORAGE-ZIPTOWERCARRIERLOCATIONCHANGED,[ 2025-12-29 17:45:55.933 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > STORAGE-ZIPTOWERCARRIERLOCATIONCHANGED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917455593304-rxTZ < /TRANSACTIONID > < CONVERSATIONID > e5c103ba-188a-4655-8bbd-213ca8f440db < /CONVERSATIONID > < TIME > 2025-12-29 17:45:55.930 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ABL6022 < /MACHINENAME > < CONNECTIONID > 6ABL6022 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 255 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 4 < /RPTID > < VCOUNT > < CARRIERINFO > < CARRIERID > 4PDML395 < /CARRIERID > < CARRIERLOC > 6ABL6022_AI623_B2 < /CARRIERLOC > < /CARRIERINFO > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:EventRPTID4 W [D=1] [len=63] [SB=62839257] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '255' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '4' > < L.1 [VCOUNT] < L.2 [CARRIERINFO] < A.8 [CARRIERID] '4PDML395' > < A.17 [CARRIERLOC] '6ABL6022_AI623_B2' > > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917455593304-rxTZ. [GTXN:MCS2025122917455593304-rxTZ] ],WELL,6ABL6022,'MCS2025122917455593304-rxTZ,4PDML395,,ts14_m16a,EsListener.onMsg,[2025-12-29 17:45:55.933],Tibrv Dispatcher,
,UI-CARRIER,[ 2025-12-29 17:45:55.967 ] [ WELL ] [ THREAD-ID=256 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ABL6022 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 6ABL6022 < /MACHINENAME > < UNITNAME > 6ABL6022_AI623_B2 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > TRANSFERRING < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > T < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M16 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM16.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917455593304-rxTZ. [GTXN:MCS2025122917455593304-rxTZ] ],WELL,6ABL6022,'MCS2025122917455593304-rxTZ,4PDML395,6ABL6022_AI623_B2,ts14_m16a,UiSenderEx.send,[2025-12-29 17:45:55.967],THREAD-ID=256,
