COMMANDID,MESSAGENAME,TEXT,LEVEL,MACHINENAME,TRANSACTIONID,CARRIER,UNITNAME,PROCESS,OPERATION_NAME,TIME_EX,THREAD,COMMAND
N4PDML39520251229174042,RAIL-CARRIERTRANSFER,[ 2025-12-29 17:40:42.233 ] [ WELL ] [ THREAD-ID=423 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > RAIL-CARRIERTRANSFER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME > 2025-12-29 17:40:42.230 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ECMB101 < /MACHINENAME > < CONNECTIONID / > < USERNAME > NANOTRANS < /USERNAME > < /ORIGINATED > < DATA > < COMMANDID > N4PDML39520251229174042 < /COMMANDID > < CARRIERID > 4PDML395 < /CARRIERID > < CARRIERLOC / > < CARRIERZONENAME / > < SOURCEUNIT > 4AFC3301A_OUT89 < /SOURCEUNIT > < SOURCECONTAINER / > < SOURCESLOT / > < DESTUNIT > 6ABL6012_AI322 < /DESTUNIT > < DESTCONTAINER / > < DESTSLOT / > < RESULTCODE / > < PRIORITY > 50 < /PRIORITY > < LOTID > TE25160 < /LOTID > < CARRIERTYPE > FOUP < /CARRIERTYPE > < STEPID / > < OPER_DESC / > < WF_QTY / > < NEXTTOUNIT / > < /DATA > < TAIL / > < /MESSAGE > was sent to M16.REAL.NANOTRANS.MCSEIF.EI20_BRG_OHT_P. transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,6ECMB101,'MCS2025122917404169304-TdBt,4PDML395,,ts01_m16a,EsSender.send,[2025-12-29 17:40:42.233],THREAD-ID=423,
N4PDML39520251229174042,RAIL-CARRIERTRANSFER,[ 2025-12-29 17:40:42.236 ] [ WELL ] [ THREAD-ID=423 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > RAIL-CARRIERTRANSFER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME > 2025-12-29 17:40:42.230 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ECMB101 < /MACHINENAME > < CONNECTIONID / > < USERNAME > NANOTRANS < /USERNAME > < /ORIGINATED > < DATA > < COMMANDID > N4PDML39520251229174042 < /COMMANDID > < CARRIERID > 4PDML395 < /CARRIERID > < CARRIERLOC / > < CARRIERZONENAME / > < SOURCEUNIT > 4AFC3301A_OUT89 < /SOURCEUNIT > < SOURCECONTAINER / > < SOURCESLOT / > < DESTUNIT > 6ABL6012_AI322 < /DESTUNIT > < DESTCONTAINER / > < DESTSLOT / > < RESULTCODE / > < PRIORITY > 50 < /PRIORITY > < LOTID > TE25160 < /LOTID > < CARRIERTYPE > FOUP < /CARRIERTYPE > < STEPID / > < OPER_DESC / > < WF_QTY / > < NEXTTOUNIT / > < /DATA > < TAIL / > < /MESSAGE > was sent to M16.REAL.NANOTRANS.MCSEIF.EI20_BRG_OHT_S. transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,6ECMB101,'MCS2025122917404169304-TdBt,4PDML395,,ts01_m16a,EsSender.send,[2025-12-29 17:40:42.236],THREAD-ID=423,
N4PDML39520251229174042,RAIL-CARRIERTRANSFERREPLY,[ 2025-12-29 17:40:42.272 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-CARRIERTRANSFERREPLY < /MESSAGENAME > < TRANSACTIONID > MCS2025122917404227204-nyP8 < /TRANSACTIONID > < CONVERSATIONID > 1f83b9e7-7dda-4eb8-a208-0cfe67ba48a6 < /CONVERSATIONID > < TIME > 2025-12-29 17:40:42.249 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ECMB101 < /MACHINENAME > < CONNECTIONID > 6ECMB101 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < DESTUNIT > 6ABL6012_AI322 < /DESTUNIT > < CARRIERID > 4PDML395 < /CARRIERID > < COMMANDID > N4PDML39520251229174042 < /COMMANDID > < SOURCEUNIT > 4AFC3301A_OUT89 < /SOURCEUNIT > < LOTID > TE25160 < /LOTID > < CARRIERTYPE > FOUP < /CARRIERTYPE > < LIST > < HCACK > 4 < /HCACK > < CPCOUNT / > < /LIST > < RESULTCODE > 4 < /RESULTCODE > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S2F50:EnhancedHostCommandAcknowledgeNew1 [D=6] [len=17] [SB=37318653] < L.2 < B.1 [HCACK] '4' > < L.0 [CPCOUNT] > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917404227204-nyP8. [GTXN:MCS2025122917404227204-nyP8] ],WELL,6ECMB101,'MCS2025122917404227204-nyP8,4PDML395,,ts11_m16a,EsListener.onMsg,[2025-12-29 17:40:42.272],Tibrv Dispatcher,
N4PDML39520251229174042,RAIL-TRANSFERINITIATED,[ 2025-12-29 17:40:43.210 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-TRANSFERINITIATED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917404321004-zHiz < /TRANSACTIONID > < CONVERSATIONID > a526370b-9803-47b5-afdb-7303d9d5ffbb < /CONVERSATIONID > < TIME > 2025-12-29 17:40:43.207 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ECMB101 < /MACHINENAME > < CONNECTIONID > 6ECMB101 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 108 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 3 < /RPTID > < VCOUNT > < COMMANDID > N4PDML39520251229174042 < /COMMANDID > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:TransferCommandStateEventReportSend W [D=6] [len=57] [SB=14608192] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '108' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '3' > < L.1 [VCOUNT] < A.23 [COMMANDID] 'N4PDML39520251229174042' > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917404321004-zHiz. [GTXN:MCS2025122917404321004-zHiz] ],WELL,6ECMB101,'MCS2025122917404321004-zHiz,,,ts01_m16a,EsListener.onMsg,[2025-12-29 17:40:43.210],Tibrv Dispatcher,
N4PDML39520251229174042,RAIL-VEHICLEASSIGNED,[ 2025-12-29 17:40:43.211 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-VEHICLEASSIGNED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917404321104-OX5b < /TRANSACTIONID > < CONVERSATIONID > 636c788d-3893-46cf-b835-011568096c7e < /CONVERSATIONID > < TIME > 2025-12-29 17:40:43.207 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ECMB101 < /MACHINENAME > < CONNECTIONID > 6ECMB101 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 204 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 6 < /RPTID > < VCOUNT > < VEHICLEID > BV0181 < /VEHICLEID > < COMMANDID > N4PDML39520251229174042 < /COMMANDID > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:VehicleAssignedEventReportSend W [D=6] [len=65] [SB=14608193] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '204' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '6' > < L.2 [VCOUNT] < A.6 [VEHICLEID] 'BV0181' > < A.23 [COMMANDID] 'N4PDML39520251229174042' > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917404321104-OX5b. [GTXN:MCS2025122917404321104-OX5b] ],WELL,6ECMB101,'MCS2025122917404321104-OX5b,,,ts02_m16a,EsListener.onMsg,[2025-12-29 17:40:43.211],Tibrv Dispatcher,
N4PDML39520251229174042,RAIL-TRANSFERUPDATE,[ 2025-12-29 17:40:44.504 ] [ WELL ] [ THREAD-ID=147 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > RAIL-TRANSFERUPDATE < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME > 2025-12-29 17:40:44.501 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ECMB101 < /MACHINENAME > < CONNECTIONID / > < USERNAME > NANOTRANS < /USERNAME > < /ORIGINATED > < DATA > < COMMANDID > N4PDML39520251229174042 < /COMMANDID > < CARRIERID > 4PDML395 < /CARRIERID > < DESTPORT > 6ABL6022_AI311 < /DESTPORT > < PRIORITY > 50 < /PRIORITY > < FLOORID / > < RESULTCODE / > < /DATA > < TAIL / > < /MESSAGE > was sent to M16.REAL.NANOTRANS.MCSEIF.EI20_BRG_OHT_P. transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,6ECMB101,'MCS2025122917404169304-TdBt,4PDML395,,ts15_m16a,EsSender.send,[2025-12-29 17:40:44.504],THREAD-ID=147,
N4PDML39520251229174042,RAIL-TRANSFERUPDATE,[ 2025-12-29 17:40:44.507 ] [ WELL ] [ THREAD-ID=147 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > RAIL-TRANSFERUPDATE < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME > 2025-12-29 17:40:44.501 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ECMB101 < /MACHINENAME > < CONNECTIONID / > < USERNAME > NANOTRANS < /USERNAME > < /ORIGINATED > < DATA > < COMMANDID > N4PDML39520251229174042 < /COMMANDID > < CARRIERID > 4PDML395 < /CARRIERID > < DESTPORT > 6ABL6022_AI311 < /DESTPORT > < PRIORITY > 50 < /PRIORITY > < FLOORID / > < RESULTCODE / > < /DATA > < TAIL / > < /MESSAGE > was sent to M16.REAL.NANOTRANS.MCSEIF.EI20_BRG_OHT_S. transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,6ECMB101,'MCS2025122917404169304-TdBt,4PDML395,,ts15_m16a,EsSender.send,[2025-12-29 17:40:44.507],THREAD-ID=147,
N4PDML39520251229174042,RAIL-TRANSFERUPDATEREPLY,[ 2025-12-29 17:40:44.512 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-TRANSFERUPDATEREPLY < /MESSAGENAME > < TRANSACTIONID > MCS2025122917404451204-kJlK < /TRANSACTIONID > < CONVERSATIONID > ff38432b-e007-4d19-9970-1aa486b1e138 < /CONVERSATIONID > < TIME > 2025-12-29 17:40:44.501 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ECMB101 < /MACHINENAME > < CONNECTIONID / > < USERNAME > NANOTRANS < /USERNAME > < /ORIGINATED > < DATA > < COMMANDID > N4PDML39520251229174042 < /COMMANDID > < CARRIERID > 4PDML395 < /CARRIERID > < DESTPORT > 6ABL6022_AI311 < /DESTPORT > < PRIORITY > 50 < /PRIORITY > < FLOORID / > < RESULTCODE > 4 < /RESULTCODE > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S2F42:HostCommandAcknowledgeNew1 [D=6] [len=17] [SB=37318656] < L.2 < B.1 [HCACK] '4' > < L.0 [CPCOUNT] > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917404451204-kJlK. [GTXN:MCS2025122917404451204-kJlK] ],WELL,6ECMB101,'MCS2025122917404451204-kJlK,4PDML395,,ts03_m16a,EsListener.onMsg,[2025-12-29 17:40:44.512],Tibrv Dispatcher,
N4PDML39520251229174042,RAIL-TRANSFERUPDATECOMPLETED,[ 2025-12-29 17:40:44.612 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-TRANSFERUPDATECOMPLETED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917404461204-xRLW < /TRANSACTIONID > < CONVERSATIONID > f2b6fefc-9834-4955-b85d-bb95cdbcdbbb < /CONVERSATIONID > < TIME > 2025-12-29 17:40:44.607 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ECMB101 < /MACHINENAME > < CONNECTIONID > 6ECMB101 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 660 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 14 < /RPTID > < VCOUNT > < COMMANDID > N4PDML39520251229174042 < /COMMANDID > < CARRIERID > 4PDML395 < /CARRIERID > < DESTPORT > 6ABL6022_AI311 < /DESTPORT > < PRIORITY > 50 < /PRIORITY > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:TransferUpdateCompleted W [D=6] [len=87] [SB=14608223] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '660' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '14' > < L.4 [VCOUNT] < A.23 [COMMANDID] 'N4PDML39520251229174042' > < A.8 [CARRIERID] '4PDML395' > < A.14 [DESTPORT] '6ABL6022_AI311' > < U2.1 [PRIORITY] '50' > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917404461204-xRLW. [GTXN:MCS2025122917404461204-xRLW] ],WELL,6ECMB101,'MCS2025122917404461204-xRLW,4PDML395,,ts01_m16a,EsListener.onMsg,[2025-12-29 17:40:44.612],Tibrv Dispatcher,
N4PDML39520251229174042,RAIL-TRANSFERRING,[ 2025-12-29 17:41:05.711 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-TRANSFERRING < /MESSAGENAME > < TRANSACTIONID > MCS2025122917410571104-fLAK < /TRANSACTIONID > < CONVERSATIONID > bf5106e9-48b5-4abb-91dd-f922f7c4a014 < /CONVERSATIONID > < TIME > 2025-12-29 17:41:05.708 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 6ECMB101 < /MACHINENAME > < CONNECTIONID > 6ECMB101 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 111 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 3 < /RPTID > < VCOUNT > < COMMANDID > N4PDML39520251229174042 < /COMMANDID > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:TransferCommandStateEventReportSend W [D=6] [len=57] [SB=14608532] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '111' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '3' > < L.1 [VCOUNT] < A.23 [COMMANDID] 'N4PDML39520251229174042' > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917410571104-fLAK. [GTXN:MCS2025122917410571104-fLAK] ],WELL,6ECMB101,'MCS2025122917410571104-fLAK,,,ts05_m16a,EsListener.onMsg,[2025-12-29 17:41:05.711],Tibrv Dispatcher,
