COMMANDID,MESSAGENAME,TEXT,LEVEL,MACHINENAME,TRANSACTIONID,CARRIER,UNITNAME,PROCESS,OPERATION_NAME,TIME_EX,THREAD,COMMAND
,,[ 2025-12-29 17:40:41.794 ] [ WELL ] [ THREAD-ID=400 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.cmessage.interfaceManager.HostInterface.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < Envelop > < Header > < Factory > M16 < /Factory > < Environment > REAL < /Environment > < Sender_Node > MCS < /Sender_Node > < Send_Process > MCS < /Send_Process > < Listen_Process > MHS < /Listen_Process > < Command > MCSMHS_MATERIAL_DEST_REQ < /Command > < GTXN_ID > MCS2025122917404169304-TdBt < /GTXN_ID > < GTXN_SEQ > 0 < /GTXN_SEQ > < /Header > < Body > < DATA DESTINATION="MHS" ORIGINATION="MCS" TID="MCSMHS_MATERIAL_DEST_REQ" SEQUENCE_NAME="MCSMHS_MATERIAL_DEST_REQ" > < MCSMHS_MATERIAL_DEST_REQ > < MATERIAL_INFO DEVICE_ID="4AFC3301" CARRIER_ID="4PDML395" SUB_DEVICE_ID="AO89" EVENT_TIME="2025/12/29 17:40:41" / > < /MCSMHS_MATERIAL_DEST_REQ > < /DATA > < /Body > < /Envelop > was sent to M16.REAL.NANOTRANS.MESSO.MESSO.*. transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,,'MCS2025122917404169304-TdBt,4PDML395,,ts11_m16a,HostInterface.send,[2025-12-29 17:40:41.794],THREAD-ID=400,MCSMHS_MATERIAL_DEST_REQ
,,[ 2025-12-29 17:40:41.903 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.cmessage.interfaceManager.M16HostInterface.onMsg ] [ < ?xml version="1.0" encoding="UTF-8"? > < Envelop > < Header > < GTXN_SEQ > 1 < /GTXN_SEQ > < Language > kor < /Language > < Command > MHSMCS_MATERIAL_DEST_REP < /Command > < Sender_Node > MES < /Sender_Node > < EVENT_TYPE / > < Factory > M16 < /Factory > < Environment > REAL < /Environment > < GTXN_ID > MCS2025122917404169304-TdBt < /GTXN_ID > < Send_Process > MESSO < /Send_Process > < PrevPostFlag / > < Listen_Process > MCS < /Listen_Process > < Facility > M16 < /Facility > < EQUIPMENT / > < LOT_ID / > < InterfaceHeader / > < Compressed / > < /Header > < Body > < DATA DESTINATION="MCS" ORIGINATION="MHS" SEQUENCE_NAME="MHSMCS_MATERIAL_DEST_REP" TID="MHSMCS_MATERIAL_DEST_REP" > < MHSMCS_MATERIAL_DEST_REP > < MATERIAL_DEST_INFO BATCH_ID="" REPLY_STATE="SUCCESS" REPLY_STATE_DESC="" REQUESTOR="MHS" SEQUENCE_NO="20251229174041879054" TRIGGER_EVENT_CODE="" > < CARRIER_INFO_LIST > < CARRIER_INFO BATCH_SEQUENCE="" CARRIER_ID="4PDML395" CARRIER_SUB_TYPE="Metal" CARRIER_TYPE="FOUP" CURRENT_FLOOR="6F" DEFINITE_FLAG="" DESTINATION_FAB="" DESTINATION_FLOOR="6F" DESTINATION_ID="6ANS5301" DESTINATION_TYPE="STOCKER_SHELF" DETAIL_DESTINATION_ID="Partition1" DETAIL_SOURCE_ID="AO89" LOT_ID="TE25160" OPERATION_ID="" OPER_DESCRIPTION="" PRIORITY="50" REASONCODE="ReceiveReturn Lot Auto" ROUTER="MHS_NEW" SOURCE_FAB="" SOURCE_ID="4AFC3301" SOURCE_TYPE="STOCKER_PORT" WAFER_QTY="" / > < /CARRIER_INFO_LIST > < /MATERIAL_DEST_INFO > < /MHSMCS_MATERIAL_DEST_REP > < /DATA > < /Body > < /Envelop > . transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,,'MCS2025122917404169304-TdBt,4PDML395,,ts01_m16a,M16HostInterface.onMsg,[2025-12-29 17:40:41.903],Tibrv Dispatcher,MHSMCS_MATERIAL_DEST_REP
,UI-CARRIER,[ 2025-12-29 17:40:41.917 ] [ WELL ] [ THREAD-ID=423 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4AFC3301 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 4AFC3301 < /MACHINENAME > < UNITNAME > 4AFC3301A_OUT89 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > NA < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M16 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM16.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,4AFC3301,'MCS2025122917404169304-TdBt,4PDML395,4AFC3301A_OUT89,ts01_m16a,UiSenderEx.send,[2025-12-29 17:40:41.917],THREAD-ID=423,
,,[ 2025-12-29 17:40:41.927 ] [ WELL ] [ THREAD-ID=423 ] [ kr.co.aim.nanotrans.server.extension.framework.material.impl.MaterialManagerExImpl.updateCarrierHostDestData ] [ updateCarrierHostDestData. Carrier[4PDML395]. HostDestData[6ANS5301 | 6ANS5301_Partition1 | STOCKER_SHELF | STORAGE].. transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,,'MCS2025122917404169304-TdBt,,,ts01_m16a,MaterialManagerExImpl.updateCarrierHostDestData,[2025-12-29 17:40:41.927],THREAD-ID=423,
,UI-CARRIER,[ 2025-12-29 17:40:41.930 ] [ WELL ] [ THREAD-ID=423 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4AFC3301 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 4AFC3301 < /MACHINENAME > < UNITNAME > 4AFC3301A_OUT89 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > NA < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M16 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM16.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,4AFC3301,'MCS2025122917404169304-TdBt,4PDML395,4AFC3301A_OUT89,ts01_m16a,UiSenderEx.send,[2025-12-29 17:40:41.930],THREAD-ID=423,
,UI-CARRIER,[ 2025-12-29 17:40:41.939 ] [ WELL ] [ THREAD-ID=423 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4AFC3301 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 4AFC3301 < /MACHINENAME > < UNITNAME > 4AFC3301A_OUT89 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > NA < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M16 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM16.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,4AFC3301,'MCS2025122917404169304-TdBt,4PDML395,4AFC3301A_OUT89,ts01_m16a,UiSenderEx.send,[2025-12-29 17:40:41.939],THREAD-ID=423,
,UI-CARRIER,[ 2025-12-29 17:40:41.942 ] [ WELL ] [ THREAD-ID=423 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4AFC3301 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 4AFC3301 < /MACHINENAME > < UNITNAME > 4AFC3301A_OUT89 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > NA < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M16 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM16.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,4AFC3301,'MCS2025122917404169304-TdBt,4PDML395,4AFC3301A_OUT89,ts01_m16a,UiSenderEx.send,[2025-12-29 17:40:41.942],THREAD-ID=423,
,UI-CARRIER,[ 2025-12-29 17:40:41.945 ] [ WELL ] [ THREAD-ID=423 ] [ kr.co.aim.nanotrans.server.extension.framework.communication.msb.tibrv.marker.UiSenderEx.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > UI-CARRIER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME / > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4AFC3301 < /MACHINENAME > < CONNECTIONID / > < USERNAME / > < /ORIGINATED > < DATA > < CARRIERNAME > 4PDML395 < /CARRIERNAME > < MACHINENAME > 4AFC3301 < /MACHINENAME > < UNITNAME > 4AFC3301A_OUT89 < /UNITNAME > < CARRIERKIND > CARRIER < /CARRIERKIND > < STATE > NA < /STATE > < TYPE > FOUP < /TYPE > < RESERVED > F < /RESERVED > < HOLDED > F < /HOLDED > < PRODUCTEMPTY / > < LOTID / > < CONTAINERNAME / > < SLOTNUMBER / > < MAXCAPA > -1 < /MAXCAPA > < CARRIERSHOPNAME > M16 < /CARRIERSHOPNAME > < /DATA > < TAIL / > < /MESSAGE > was sent to DocumentM16.REAL.NANOTRANS.MCSUIF.SENDER.ALL. transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,4AFC3301,'MCS2025122917404169304-TdBt,4PDML395,4AFC3301A_OUT89,ts01_m16a,UiSenderEx.send,[2025-12-29 17:40:41.945],THREAD-ID=423,
,,[ 2025-12-29 17:40:41.966 ] [ WELL ] [ THREAD-ID=423 ] [ kr.co.aim.nanotrans.extention.service.trans.MaterialServiceEx.updateCarrierLastCleanTime ] [ carrier{4PDML395} LastCleanTime updated currentTime . transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,,'MCS2025122917404169304-TdBt,,,ts01_m16a,MaterialServiceEx.updateCarrierLastCleanTime,[2025-12-29 17:40:41.966],THREAD-ID=423,
,,[ 2025-12-29 17:40:42.007 ] [ WELL ] [ THREAD-ID=423 ] [ kr.co.aim.nanotrans.server.extension.framework.material.impl.MaterialManagerExImpl.updateCarrierDefiniteFlagByN2 ] [ update the n2flag of the carrier {4PDML395} to N2. . transactionId=MCS2025122917404169304-TdBt. [GTXN:MCS2025122917404169304-TdBt] ],WELL,,'MCS2025122917404169304-TdBt,,,ts01_m16a,MaterialManagerExImpl.updateCarrierDefiniteFlagByN2,[2025-12-29 17:40:42.007],THREAD-ID=423,
