COMMANDID,MESSAGENAME,TEXT,LEVEL,MACHINENAME,TRANSACTIONID,CARRIER,UNITNAME,PROCESS,OPERATION_NAME,TIME_EX,THREAD,COMMAND
N4PDML39520251229173110,RAIL-CARRIERTRANSFER,[ 2025-12-29 17:31:10.643 ] [ WELL ] [ THREAD-ID=459 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > RAIL-CARRIERTRANSFER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME > 2025-12-29 17:31:10.641 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ACM4701 < /MACHINENAME > < CONNECTIONID / > < USERNAME > NANOTRANS < /USERNAME > < /ORIGINATED > < DATA > < COMMANDID > N4PDML39520251229173110 < /COMMANDID > < CARRIERID > 4PDML395 < /CARRIERID > < CARRIERLOC / > < CARRIERZONENAME / > < SOURCEUNIT > 4ANZ53-411 < /SOURCEUNIT > < SOURCECONTAINER / > < SOURCESLOT / > < DESTUNIT > 4AFC3301A_IN58 < /DESTUNIT > < DESTCONTAINER / > < DESTSLOT / > < RESULTCODE / > < PRIORITY > 50 < /PRIORITY > < LOTID > TE25160 < /LOTID > < CARRIERTYPE > FOUP < /CARRIERTYPE > < STEPID > J3050000C < /STEPID > < OPER_DESC / > < WF_QTY / > < NEXTTOUNIT / > < /DATA > < TAIL / > < /MESSAGE > was sent to M14.REAL.NANOTRANS.MCSEIF.EI01_OHT_P. transactionId=MCS2025122917311009304-mnex. [GTXN:MCS2025122917311009304-mnex] ],WELL,4ACM4701,'MCS2025122917311009304-mnex,4PDML395,,ts15_m14a,EsSender.send,[2025-12-29 17:31:10.643],THREAD-ID=459,
N4PDML39520251229173110,RAIL-CARRIERTRANSFER,[ 2025-12-29 17:31:10.645 ] [ WELL ] [ THREAD-ID=459 ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsSender.send ] [ < ?xml version="1.0" encoding="UTF-8"? > < MESSAGE > < HEADER > < MESSAGENAME > RAIL-CARRIERTRANSFER < /MESSAGENAME > < TRANSACTIONID / > < CONVERSATIONID / > < TIME > 2025-12-29 17:31:10.641 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > N < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ACM4701 < /MACHINENAME > < CONNECTIONID / > < USERNAME > NANOTRANS < /USERNAME > < /ORIGINATED > < DATA > < COMMANDID > N4PDML39520251229173110 < /COMMANDID > < CARRIERID > 4PDML395 < /CARRIERID > < CARRIERLOC / > < CARRIERZONENAME / > < SOURCEUNIT > 4ANZ53-411 < /SOURCEUNIT > < SOURCECONTAINER / > < SOURCESLOT / > < DESTUNIT > 4AFC3301A_IN58 < /DESTUNIT > < DESTCONTAINER / > < DESTSLOT / > < RESULTCODE / > < PRIORITY > 50 < /PRIORITY > < LOTID > TE25160 < /LOTID > < CARRIERTYPE > FOUP < /CARRIERTYPE > < STEPID > J3050000C < /STEPID > < OPER_DESC / > < WF_QTY / > < NEXTTOUNIT / > < /DATA > < TAIL / > < /MESSAGE > was sent to M14.REAL.NANOTRANS.MCSEIF.EI01_OHT_S. transactionId=MCS2025122917311009304-mnex. [GTXN:MCS2025122917311009304-mnex] ],WELL,4ACM4701,'MCS2025122917311009304-mnex,4PDML395,,ts15_m14a,EsSender.send,[2025-12-29 17:31:10.645],THREAD-ID=459,
N4PDML39520251229173110,RAIL-CARRIERTRANSFERREPLY,[ 2025-12-29 17:31:10.674 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-CARRIERTRANSFERREPLY < /MESSAGENAME > < TRANSACTIONID > MCS2025122917311067404-Nl6t < /TRANSACTIONID > < CONVERSATIONID > bf0b4e13-a9bd-4da9-a190-8b5eead04316 < /CONVERSATIONID > < TIME > 2025-12-29 17:31:10.673 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ACM4701 < /MACHINENAME > < CONNECTIONID > 4ACM4701 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < DESTUNIT > 4AFC3301A_IN58 < /DESTUNIT > < CARRIERID > 4PDML395 < /CARRIERID > < COMMANDID > N4PDML39520251229173110 < /COMMANDID > < STEPID > J3050000C < /STEPID > < SOURCEUNIT > 4ANZ53-411 < /SOURCEUNIT > < LOTID > TE25160 < /LOTID > < CARRIERTYPE > FOUP < /CARRIERTYPE > < LIST > < HCACK > 4 < /HCACK > < CPCOUNT / > < /LIST > < RESULTCODE > 4 < /RESULTCODE > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S2F50:EnhancedHostCommandAcknowledgeNew1 [D=6] [len=17] [SB=232404953] < L.2 < B.1 [HCACK] '4' > < L.0 [CPCOUNT] > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917311067404-Nl6t. [GTXN:MCS2025122917311067404-Nl6t] ],WELL,4ACM4701,'MCS2025122917311067404-Nl6t,4PDML395,,ts04_m14a,EsListener.onMsg,[2025-12-29 17:31:10.674],Tibrv Dispatcher,
N4PDML39520251229173110,RAIL-VEHICLEASSIGNED,[ 2025-12-29 17:31:13.487 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-VEHICLEASSIGNED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917311348704-R3QC < /TRANSACTIONID > < CONVERSATIONID > 50c5b049-a8f8-4312-b999-ab5ff2283b54 < /CONVERSATIONID > < TIME > 2025-12-29 17:31:13.485 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ACM4701 < /MACHINENAME > < CONNECTIONID > 4ACM4701 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 204 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 6 < /RPTID > < VCOUNT > < VEHICLEID > V00922 < /VEHICLEID > < COMMANDID > N4PDML39520251229173110 < /COMMANDID > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:VehicleAssignedEventReportSend W [D=6] [len=65] [SB=505246166] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '204' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '6' > < L.2 [VCOUNT] < A.6 [VEHICLEID] 'V00922' > < A.23 [COMMANDID] 'N4PDML39520251229173110' > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917311348704-R3QC. [GTXN:MCS2025122917311348704-R3QC] ],WELL,4ACM4701,'MCS2025122917311348704-R3QC,,,ts11_m14a,EsListener.onMsg,[2025-12-29 17:31:13.487],Tibrv Dispatcher,
N4PDML39520251229173110,RAIL-TRANSFERINITIATED,[ 2025-12-29 17:31:13.487 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-TRANSFERINITIATED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917311348704-IEZp < /TRANSACTIONID > < CONVERSATIONID > c03fce5f-a69e-405f-b923-5b6b2ca22e5f < /CONVERSATIONID > < TIME > 2025-12-29 17:31:13.485 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ACM4701 < /MACHINENAME > < CONNECTIONID > 4ACM4701 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 108 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 3 < /RPTID > < VCOUNT > < COMMANDID > N4PDML39520251229173110 < /COMMANDID > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:TransferCommandStateEventReportSend W [D=6] [len=57] [SB=505246165] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '108' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '3' > < L.1 [VCOUNT] < A.23 [COMMANDID] 'N4PDML39520251229173110' > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917311348704-IEZp. [GTXN:MCS2025122917311348704-IEZp] ],WELL,4ACM4701,'MCS2025122917311348704-IEZp,,,ts13_m14a,EsListener.onMsg,[2025-12-29 17:31:13.487],Tibrv Dispatcher,
N4PDML39520251229173110,RAIL-TRANSFERRING,[ 2025-12-29 17:31:48.709 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-TRANSFERRING < /MESSAGENAME > < TRANSACTIONID > MCS2025122917314870904-jqn8 < /TRANSACTIONID > < CONVERSATIONID > af91eca4-7f2e-4d92-9484-72e8d0b328b3 < /CONVERSATIONID > < TIME > 2025-12-29 17:31:48.706 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ACM4701 < /MACHINENAME > < CONNECTIONID > 4ACM4701 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 111 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 3 < /RPTID > < VCOUNT > < COMMANDID > N4PDML39520251229173110 < /COMMANDID > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:TransferCommandStateEventReportSend W [D=6] [len=57] [SB=505248659] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '111' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '3' > < L.1 [VCOUNT] < A.23 [COMMANDID] 'N4PDML39520251229173110' > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917314870904-jqn8. [GTXN:MCS2025122917314870904-jqn8] ],WELL,4ACM4701,'MCS2025122917314870904-jqn8,,,ts02_m14a,EsListener.onMsg,[2025-12-29 17:31:48.709],Tibrv Dispatcher,
,RAIL-VEHICLEACQUIRESTARTED,[ 2025-12-29 17:31:48.894 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-VEHICLEACQUIRESTARTED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917314889404-YLAO < /TRANSACTIONID > < CONVERSATIONID > 6586bc33-bb40-45b8-a342-14ec3e0df7ed < /CONVERSATIONID > < TIME > 2025-12-29 17:31:48.893 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ACM4701 < /MACHINENAME > < CONNECTIONID > 4ACM4701 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 202 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 7 < /RPTID > < VCOUNT > < VEHICLEID > V00922 < /VEHICLEID > < CARRIERID > 4PDML395 < /CARRIERID > < TRANSFERPORT > 4ANZ53-411 < /TRANSFERPORT > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:VehicleAquireDepositEventReportSend W [D=6] [len=62] [SB=505248679] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '202' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '7' > < L.3 [VCOUNT] < A.6 [VEHICLEID] 'V00922' > < A.8 [CARRIERID] '4PDML395' > < A.10 [TRANSFERPORT] '4ANZ53-411' > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917314889404-YLAO. [GTXN:MCS2025122917314889404-YLAO] ],WELL,4ACM4701,'MCS2025122917314889404-YLAO,4PDML395,,ts02_m14a,EsListener.onMsg,[2025-12-29 17:31:48.894],Tibrv Dispatcher,
,RAIL-VEHICLEACQUIRECOMPLETED,[ 2025-12-29 17:31:57.477 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-VEHICLEACQUIRECOMPLETED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917315747704-OgIR < /TRANSACTIONID > < CONVERSATIONID > a0a95100-d14a-4904-9d4e-7244df3c9e94 < /CONVERSATIONID > < TIME > 2025-12-29 17:31:57.475 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ACM4701 < /MACHINENAME > < CONNECTIONID > 4ACM4701 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 203 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 7 < /RPTID > < VCOUNT > < VEHICLEID > V00922 < /VEHICLEID > < CARRIERID > 4PDML395 < /CARRIERID > < TRANSFERPORT > 4ANZ53-411 < /TRANSFERPORT > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:VehicleAquireDepositEventReportSend W [D=6] [len=62] [SB=505249266] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '203' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '7' > < L.3 [VCOUNT] < A.6 [VEHICLEID] 'V00922' > < A.8 [CARRIERID] '4PDML395' > < A.10 [TRANSFERPORT] '4ANZ53-411' > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917315747704-OgIR. [GTXN:MCS2025122917315747704-OgIR] ],WELL,4ACM4701,'MCS2025122917315747704-OgIR,4PDML395,,ts05_m14a,EsListener.onMsg,[2025-12-29 17:31:57.477],Tibrv Dispatcher,
N4PDML39520251229173110,RAIL-CARRIERINSTALLED,[ 2025-12-29 17:31:57.477 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-CARRIERINSTALLED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917315747604-h4Jb < /TRANSACTIONID > < CONVERSATIONID > 5a89e517-8a28-4270-860b-0b002b668db4 < /CONVERSATIONID > < TIME > 2025-12-29 17:31:57.475 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ACM4701 < /MACHINENAME > < CONNECTIONID > 4ACM4701 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 151 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 8 < /RPTID > < VCOUNT > < VEHICLEID > V00922 < /VEHICLEID > < CARRIERID > 4PDML395 < /CARRIERID > < CARRIERLOC > V00922 < /CARRIERLOC > < COMMANDID > N4PDML39520251229173110 < /COMMANDID > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:CarrierInstallRemoveEventReportSend W [D=6] [len=83] [SB=505249265] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '151' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '8' > < L.4 [VCOUNT] < A.6 [VEHICLEID] 'V00922' > < A.8 [CARRIERID] '4PDML395' > < A.6 [CARRIERLOC] 'V00922' > < A.23 [COMMANDID] 'N4PDML39520251229173110' > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917315747604-h4Jb. [GTXN:MCS2025122917315747604-h4Jb] ],WELL,4ACM4701,'MCS2025122917315747604-h4Jb,4PDML395,,ts12_m14a,EsListener.onMsg,[2025-12-29 17:31:57.477],Tibrv Dispatcher,
,RAIL-VEHICLEDEPOSITSTARTED,[ 2025-12-29 17:32:51.217 ] [ WELL ] [ Tibrv Dispatcher ] [ kr.co.aim.nanotrans.communication.msb.tibrv.marker.EsListener.onMsg ] [ < MESSAGE > < HEADER > < MESSAGENAME > RAIL-VEHICLEDEPOSITSTARTED < /MESSAGENAME > < TRANSACTIONID > MCS2025122917325121704-YL9G < /TRANSACTIONID > < CONVERSATIONID > 53dab273-f3e9-4317-b1ed-96d5db96aa30 < /CONVERSATIONID > < TIME > 2025-12-29 17:32:51.215 < /TIME > < /HEADER > < ORIGINATED > < ORIGINATEDTYPE > M < /ORIGINATEDTYPE > < ORIGINATEDNAME / > < MACHINENAME > 4ACM4701 < /MACHINENAME > < CONNECTIONID > 4ACM4701 < /CONNECTIONID > < USERNAME / > < /ORIGINATED > < DATA > < LIST > < DATAID > 0 < /DATAID > < CEID > 206 < /CEID > < RPTIDCOUNT > < LIST > < RPTID > 7 < /RPTID > < VCOUNT > < VEHICLEID > V00922 < /VEHICLEID > < CARRIERID > 4PDML395 < /CARRIERID > < TRANSFERPORT > 4AFC3301A_IN58 < /TRANSFERPORT > < /VCOUNT > < /LIST > < /RPTIDCOUNT > < /LIST > < /DATA > < TAIL > < SECSII > < ![CDATA[RECV S6F11:VehicleAquireDepositEventReportSend W [D=6] [len=66] [SB=505252829] < L.3 < U4.1 [DATAID] '0' > < U2.1 [CEID] '206' > < L.1 [RPTIDCOUNT] < L.2 < U2.1 [RPTID] '7' > < L.3 [VCOUNT] < A.6 [VEHICLEID] 'V00922' > < A.8 [CARRIERID] '4PDML395' > < A.14 [TRANSFERPORT] '4AFC3301A_IN58' > > > > > .]] > < /SECSII > < /TAIL > < /MESSAGE > . transactionId=MCS2025122917325121704-YL9G. [GTXN:MCS2025122917325121704-YL9G] ],WELL,4ACM4701,'MCS2025122917325121704-YL9G,4PDML395,,ts05_m14a,EsListener.onMsg,[2025-12-29 17:32:51.217],Tibrv Dispatcher,
