Zone_ID,HID_No,Bay_Zone,Sub_Region,Full_Name,Territory,Type,IN_Count,OUT_Count,IN_Lanes,OUT_Lanes,Vehicle_Max,Vehicle_Precaution,Project,ZCU,HID_Type
1,HID-OHT-001,B01,1,HID-B01-1(001),1,HID,6,6,5170→6223; 5238→6232; 5304→6240; 6221→6222; 6708→6709; 6771→6710,6228→5171; 6237→5239; 6241→5305; 6243→6244; 6723→6724; 6723→6757,37,35,M14 Project Ph-1,ZC157A,HID3
2,HID-OHT-002,B01,2,HID-B01-2(002),1,HID,5,5,3043→3044; 3043→3075; 3058→3060; 3118→3067; 7818→3059,3048→3023; 3048→3049; 3081→3082; 3091→3002; 3092→6007,37,35,M14 Project Ph-1,ZC507A,HID4
3,HID-OHT-003,B02,1,HID-B02-1(003),1,HID,4,4,3081→3082; 3183→3184; 6011→3093; 7809→3127,3118→3067; 3125→7813; 3152→3169; 3160→6015,37,35,M14 Project Ph-1,ZC505A,HID4
4,HID-OHT-004,B03,2,HID-B03-2(004),1,HID,5,4,3152→3169; 3251→3204; 5682→3165; 6020→3161; 7800→3196,3183→3184; 3194→7804; 3219→3236; 3227→6023,37,35,M14 Project Ph-1,ZC514A,HID4
5,HID-OHT-005,B04,1,HID-B04-1(005),1,HID,4,4,3219→3236; 3322→3268; 6024→3228; 7796→3260,3251→3204; 3258→7799; 3285→3304; 3293→6028,37,35,M14 Project Ph-1,ZC517A,HID4
6,HID-OHT-006,B05,2,HID-B05-2(006),1,HID,5,5,3285→3304; 3343→3316; 3343→3344; 3386→3295; 6033→3294,3322→3268; 3338→3339; 3338→3370; 3352→7792; 3353→3355,37,35,M14 Project Ph-1,ZC520A,HID4
7,HID-OHT-007,B05,1,HID-B05-1(007),1,HID,5,5,3338→3339; 3338→3370; 3353→3355; 3413→3362; 7789→3354,3343→3316; 3343→3344; 3376→3377; 3386→3295; 3387→6037,37,35,M14 Project Ph-1,ZC523A,HID4
8,HID-OHT-008,B06,2,HID-B06-2(008),1,HID,4,5,3376→3377; 3477→3430; 6042→3388; 7780→3422,3413→3362; 3420→7784; 3445→3462; 3448→5685; 3453→6045,37,35,M14 Project Ph-1,ZC521A,HID4
9,HID-OHT-009,B06,1,HID-B06-1(009),1,HID,4,4,3445→3462; 3544→3545; 6046→3454; 7776→3486,3477→3430; 3484→7779; 3511→3530; 3519→6050,37,35,M14 Project Ph-1,ZC530A,HID4
10,HID-OHT-010,B02,2,HID-B02-2(010),1,HID,5,5,3511→3530; 3570→3542; 3570→3571; 3613→3521; 6055→3520,3544→3545; 3565→3566; 3565→3597; 3579→7771; 3580→3582,37,35,M14 Project Ph-1,ZC533A,HID4
11,HID-OHT-011,B02,1,HID-B02-1(011),1,HID,5,5,3565→3566; 3565→3597; 3580→3582; 3640→3589; 7767→3581,3570→3542; 3570→3571; 3606→3623; 3613→3521; 3614→6059,37,35,M14 Project Ph-1,ZC535A,HID4
12,HID-OHT-012,B02,2,HID-B02-2(012),1,HID,4,4,3606→3623; 3713→3657; 6064→3615; 7759→3649,3640→3589; 3647→7763; 3675→3694; 3683→6068,37,35,M14 Project Ph-1,ZC538A,HID4
13,HID-OHT-013,B02,1,HID-B02-1(013),1,HID,5,5,3675→3694; 3734→3706; 3734→3735; 3778→3685; 6073→3684,3713→3657; 3729→3730; 3729→3761; 3743→7754; 3744→3746,37,35,M14 Project Ph-1,ZC541A,HID4
14,HID-OHT-014,B02,2,HID-B02-2(014),1,HID,5,5,3729→3730; 3729→3761; 3744→3746; 3813→3753; 7750→3745,3734→3706; 3734→3735; 3767→3768; 3778→3685; 3779→6076,37,35,M14 Project Ph-1,ZC544A,HID4
15,HID-OHT-015,B02,1,HID-B02-1(015),1,HID,4,4,3767→3768; 3878→3879; 6081→3780; 7741→3822,3813→3753; 3820→7745; 3846→3863; 3854→6085,37,35,M14 Project Ph-1,ZC542A,HID4
16,HID-OHT-016,B02,2,HID-B02-2(016),1,HID,5,4,3846→3863; 3955→3899; 5613→3859; 6087→3855; 8520→3891,3878→3879; 3888→7739; 3918→3936; 3927→6091,37,35,M14 Project Ph-1,ZC552A,HID4
17,HID-OHT-017,B02,1,HID-B02-1(017),1,HID,4,4,3918→3936; 4029→3973; 6096→3928; 8511→3965,3955→3899; 3962→8515; 3992→4010; 4001→6100,37,35,M14 Project Ph-1,ZC555A,HID4
18,HID-OHT-018,B02,2,HID-B02-2(018),1,HID,4,4,3992→4010; 4105→4047; 6105→4002; 8502→4039,4029→3973; 4036→8506; 4066→4086; 4075→6109,37,35,M14 Project Ph-1,ZC558A,HID4
19,HID-OHT-019,B02,1,HID-B02-1(019),1,HID,4,4,4066→4086; 4152→4123; 4172→4077; 6114→4076,4105→4047; 4121→4154; 4135→8497; 4137→4139,37,35,M14 Project Ph-1,ZC561A,HID4
20,HID-OHT-020,B03,2,HID-B03-2(020),1,HID,4,4,4121→4154; 4137→4139; 4200→4146; 8493→4138,4152→4123; 4160→4161; 4172→4077; 4173→6118,37,35,M14 Project Ph-1,ZC564A,HID4
21,HID-OHT-021,B03,1,HID-B03-1(021),1,HID,4,5,4160→4161; 4267→4268; 6123→4174; 8484→4209,4200→4146; 4207→8488; 4234→4253; 4237→5616; 4242→6127,37,35,M14 Project Ph-1,ZC562A,HID4
22,HID-OHT-022,B03,2,HID-B03-2(022),1,HID,5,5,4234→4253; 4293→4265; 4293→4294; 4336→4244; 6132→4243,4267→4268; 4288→4289; 4288→4320; 4302→8479; 4303→4305,37,35,M14 Project Ph-1,ZC571A,HID4
23,HID-OHT-023,B03,1,HID-B03-1(023),1,HID,5,5,4288→4289; 4288→4320; 4303→4305; 4366→4312; 8475→4304,4293→4265; 4293→4294; 4326→4327; 4336→4244; 4337→6136,37,35,M14 Project Ph-1,ZC574A,HID4
24,HID-OHT-024,B03,2,HID-B03-2(024),1,HID,5,5,4326→4327; 4387→4360; 4387→4388; 4431→4339; 6140→4338,4366→4312; 4382→4383; 4382→4414; 4396→8470; 4397→4399,37,35,M14 Project Ph-1,ZC572A,HID4
25,HID-OHT-025,B03,1,HID-B03-1(025),1,HID,5,5,4382→4383; 4382→4414; 4397→4399; 4462→4406; 8466→4398,4387→4360; 4387→4388; 4424→4443; 4431→4339; 4432→6143,37,35,M14 Project Ph-1,ZC579A,HID4
26,HID-OHT-026,B03,2,HID-B03-2(026),1,HID,5,5,4424→4443; 4483→4455; 4483→4484; 4528→4434; 6148→4433,4462→4406; 4478→4479; 4478→4510; 4491→4494; 4492→8461,37,35,M14 Project Ph-1,ZC583A,HID4
27,HID-OHT-027,B03,1,HID-B03-1(027),1,HID,6,5,4478→4479; 4478→4510; 4491→4494; 4532→4533; 4560→4561; 8458→4493,4483→4455; 4483→4484; 4524→4542; 4528→4434; 4529→6151,37,35,M14 Project Ph-1,ZC585A,HID4
28,HID-OHT-028,B03,2,HID-B03-2(028),1,HID,12,12,16020→4550; 16046→4559; 16065→4572; 16080→4616; 16091→4593; 16133→4603; 16152→4582; 4524→4542; 4649→4588; 5648→4545; 6159→4530; 8447→4578,4532→4533; 4548→16001; 4558→16021; 4560→4561; 4571→16047; 4577→8451; 4581→16136; 4591→16092; 4602→16081; 4611→4628; 4615→16066; 4620→6163,37,35,M14 Project Ph-1,ZC600A,HID4
29,HID-OHT-029,B03,1,HID-B03-1(029),1,HID,4,4,4611→4628; 4697→4667; 4719→4622; 6169→4621,4649→4588; 4665→4699; 4679→8441; 4681→4683,37,35,M14 Project Ph-1,ZC615A,HID4
30,HID-OHT-030,B04,2,HID-B04-2(030),1,HID,5,4,4665→4699; 4681→4683; 4724→4725; 4757→4691; 8437→4682,4697→4667; 4713→4736; 4719→4622; 4720→6173,37,35,M14 Project Ph-1,ZC616A,HID4
31,HID-OHT-031,B04,1,HID-B04-1(031),1,HID,8,9,16177→4740; 16198→4749; 16233→4762; 4713→4736; 4812→4747; 4812→4813; 4828→4722; 6178→4721,4724→4725; 4739→16157; 4748→16199; 4757→4691; 4761→16211; 4766→8432; 4767→4769; 4817→4789; 4817→4818,37,35,M14 Project Ph-1,ZC631A,HID4
32,HID-OHT-032,B04,2,HID-B04-2(032),1,HID,5,6,4767→4769; 4817→4789; 4817→4818; 4856→4778; 8428→4768,4796→4838; 4812→4747; 4812→4813; 4824→5650; 4828→4722; 4829→6182,37,35,M14 Project Ph-1,ZC245A,HID4
33,HID-OHT-033,B04,1,HID-B04-1(033),1,HID,4,4,4796→4838; 4924→4873; 6187→4830; 8418→4865,4856→4778; 4863→8422; 4890→4907; 4898→6191,37,35,M14 Project Ph-1,ZC638A,HID4
34,HID-OHT-034,B04,2,HID-B04-2(034),1,HID,4,4,4890→4907; 4990→4941; 6196→4899; 8409→4933,4924→4873; 4931→8413; 4957→4974; 4965→6200,37,35,M14 Project Ph-1,ZC641A,HID4
35,HID-OHT-035,B04,1,HID-B04-1(035),1,HID,4,5,4957→4974; 5058→5007; 6202→4966; 8403→4999,4990→4941; 4997→8407; 5024→5041; 5027→5702; 5032→6206,37,35,M14 Project Ph-1,ZC645A,HID4
36,HID-OHT-036,B04,2,HID-B04-2(036),1,HID,4,4,5024→5041; 5128→5075; 6211→5033; 8394→5067,5058→5007; 5065→8398; 5093→5110; 5101→6214,37,35,M14 Project Ph-1,ZC648A,HID4
37,HID-OHT-037,B04,1,HID-B04-1(037),1,HID,4,4,5093→5110; 5196→5145; 6219→5102; 8385→5137,5128→5075; 5135→8389; 5162→5179; 5170→6223,37,35,M14 Project Ph-1,ZC651A,HID4
38,HID-OHT-038,B04,2,HID-B04-2(038),1,HID,4,4,5162→5179; 5264→5213; 6228→5171; 8377→5205,5196→5145; 5203→8381; 5230→5247; 5238→6232,37,35,M14 Project Ph-1,ZC654A,HID4
39,HID-OHT-039,B04,1,HID-B04-1(039),1,HID,5,4,5230→5247; 5328→5281; 5729→5244; 6237→5239; 8368→5273,5264→5213; 5271→8372; 5296→5313; 5304→6240,37,35,M14 Project Ph-1,ZC658A,HID4
40,HID-OHT-040,B05,2,HID-B05-2(040),1,HID,4,4,5296→5313; 5396→5345; 6241→5305; 8364→5337,5328→5281; 5335→8367; 5362→5379; 5370→6245,37,35,M14 Project Ph-1,ZC661A,HID4
41,HID-OHT-041,B05,1,HID-B05-1(041),1,HID,4,4,5362→5379; 5466→5413; 6250→5371; 8355→5405,5396→5345; 5403→8359; 5431→5448; 5439→6253,37,35,M14 Project Ph-1,ZC664A,HID4
42,HID-OHT-042,B05,2,HID-B05-2(042),1,HID,4,4,5431→5448; 6258→5440; 7950→5483; 8346→5475,5466→5413; 5473→8350; 5497→5498; 5506→6261,37,35,M14 Project Ph-1,ZC667A,HID4
43,HID-OHT-043,B05,1,HID-B05-1(043),1,HID,4,4,2048→2128; 6268→2089; 7914→2097; 8338→2120,2111→2112; 2118→8341; 2146→2030; 2153→6272,37,35,M14 Project Ph-1,ZC469A,HID4
44,HID-OHT-044,B05,2,HID-B05-2(044),1,HID,4,4,1980→2064; 2146→2030; 6278→2022; 8328→2056,2048→2128; 2054→8332; 2081→1963; 2088→6282,37,35,M14 Project Ph-1,ZC466A,HID4
45,HID-OHT-045,B05,1,HID-B05-1(045),1,HID,4,5,1891→1996; 2081→1963; 6287→1955; 8319→1988,1980→2064; 1986→8323; 2013→1874; 2016→5715; 2021→6291,37,35,M14 Project Ph-1,ZC462A,HID4
