순서,헤더명,원본_IDC_NM
1,CRT_TM,CRT_TM
2,M16HUB_M16TOM14B_CREATED,M16HUB.QUE.M16TOM14B.CURRENTQCREATED
3,M16HUB_M14BTOM16_CREATED,M16HUB.QUE.M14BTOM16.CURRENTQCREATED
4,M16HUB_M14TOM16_CREATED,M16HUB.QUE.M14TOM16.CURRENTQCREATED
5,M16HUB_M16TOM14_CREATED,M16HUB.QUE.M16TOM14.CURRENTQCREATED
6,M16HUB_M14TOM16_MESCNT,M16HUB.QUE.M14TOM16.MESCURRENTQCNT
7,M16HUB_M16TOM14_MESCNT,M16HUB.QUE.M16TOM14.MESCURRENTQCNT
8,M16HUB_M16TOM14A_MESCNT,M16HUB.QUE.M16TOM14A.MESCURRENTQCNT
9,M16HUB_M16TOM14B_MESCNT,M16HUB.QUE.M16TOM14B.MESCURRENTQCNT
10,M16HUB_MANUAL_CNT,M16HUB.QUE.ALL.M16HUBTOM14MANUAL_CURRENTQCNT
11,M14_RETICLE_OHTQCNT,M14.QUE.OHT.CURRENTRETICLEOHTQCNT
12,M14_VERTICALQUEUE,M14.QUE.SENDFAB.VERTICALQUEUECOUNT
13,M14_SENDFAB_COMPLETED,M14.QUE.SENDFAB.CURRENTSENDFABCOMPLETED
14,M14_OHTUTIL,M14.QUE.OHT.OHTUTIL
15,M14_LOADQCNT,M14.QUE.LOAD.CURRENTLOADQCNT
16,M14_CURRENTQCNT,M14.QUE.ALL.CURRENTQCNT
17,M14_CURRENTQCOMPLETED,M14.QUE.ALL.CURRENTQCOMPLETED
18,M14_CURRENTQCREATED,M14.QUE.ALL.CURRENTQCREATED
19,M14_AVGLOADTIME,M14.QUE.LOAD.AVGLOADTIME
20,M14_RTCOHTUTIL,M14.QUE.OHT.RTCOHTUTIL
21,M14_TRANSPORT4MINOVERCNT,M14.QUE.ALL.TRANSPORT4MINOVERCNT
22,M14_TRANSPORT4MINOVERTIMEAVG,M14.QUE.ALL.TRANSPORT4MINOVERTIMEAVG
23,M14_TRANSPORT4MINOVERRATIO,M14.QUE.ALL.TRANSPORT4MINOVERRATIO
24,M14_M14ATOM16ACURRNETQCNT,M14.QUE.CNV.M14ATOM16ACURRNETQCNT
25,M14_ALLTONORTHCNV,M14.QUE.CNV.ALLTONORTHCNVCURRENTQCNT
26,M14_ALLTOSOUTHCNV,M14.QUE.CNV.ALLTOSOUTHCNVCURRENTQCNT
27,M14_AVGRETICLELOADTIME,M14.QUE.LOAD.AVGRETICLELOADTIME
28,M14_AVGLOADTIME1MIN,M14.QUE.LOAD.AVGLOADTIME1MIN
29,M14_CURRENTOHTQCNT,M14.QUE.OHT.CURRENTOHTQCNT
30,M14_AVGFOUPLOADTIME,M14.QUE.LOAD.AVGFOUPLOADTIME
31,M14_CURRENTRETICLEQCNT,M14.QUE.ALL.CURRENTRETICLEQCNT
32,M14_RETICLELOADQCNT,M14.QUE.LOAD.CURRENTRETICLELOADQCNT
33,M14_MANUALOUTCOUNT,M14.QUE.STK.MANUALOUTCOUNT
34,M14_NORTHCNVTOALL,M14.QUE.CNV.NORTHCNVTOALLCURRENTQCNT
35,M14_SOUTHCNVTOALL,M14.QUE.CNV.SOUTHCNVTOALLCURRENTQCNT
36,M14_TOTALCNVCURRENTQCNT,M14.QUE.ALL.TOTALCNVCURRENTQCNT
37,M14_M14ATOM10ACURRENTQCNT,M14.QUE.ALL.M14ATOM10ACURRENTQCNT
38,M14_M14ATOM10CCURRENTQCNT,M14.QUE.ALL.M14ATOM10CCURRENTQCNT
39,M14_NORTHM14TOCNVTIME,M14.QUE.CNV.NORTHM14TOCNVTIME
40,M14_SOUTHM14TOCNVTIME,M14.QUE.CNV.SOUTHM14TOCNVTIME
41,M14_SFAB_SENDTOR3,M14.QUE.SFAB.SENDTOR3
42,M14_SFAB_SENDTOM16,M14.QUE.SFAB.SENDTOM16
43,M14_SFAB_SENDTOM10,M14.QUE.SFAB.SENDTOM10
44,M14_SFAB_SENDQUEUETOTAL,M14.QUE.SFAB.SENDQUEUETOTAL
45,M14_SFAB_RECEIVETOR3,M14.QUE.SFAB.RECEIVETOR3
46,M14_SFAB_RECEIVETOM16,M14.QUE.SFAB.RECEIVETOM16
47,M14_SFAB_RECEIVETOM10,M14.QUE.SFAB.RECEIVETOM10
48,M14_SFAB_RECEIVEQUEUETOTAL,M14.QUE.SFAB.RECEIVEQUEUETOTAL
49,M14_SFAB_RETURNTOR3,M14.QUE.SFAB.RETURNTOR3
50,M14_SFAB_RETURNTOM16,M14.QUE.SFAB.RETURNTOM16
