현재시간,예측시점,현재값,실제값,실제_변화량,구간_MIN,구간_MAX,구간_AVG,예측_변화량_MIN,예측값_MIN,오차_MIN,방향일치_MIN,예측_변화량_MAX,예측값_MAX,오차_MAX,방향일치_MAX,예측_변화량_AVG,예측값_AVG,오차_AVG,방향일치_AVG,HUBROOMTOTAL,알람
2025-12-22 23:29,2025-12-22 23:39,350,333,-17,333,351,341.8,-16.73,333.27,0.27,✅,8.09,358.09,25.09,❌,-4.45,345.55,12.55,✅,711,🚨358.1
2025-12-22 23:30,2025-12-22 23:40,346,336,-10,333,351,340.8,-15.49,330.51,5.49,✅,10.64,356.64,20.64,❌,-1.85,344.15,8.15,✅,704,⚠️356.6
2025-12-22 23:31,2025-12-22 23:41,341,348,7,333,351,341.5,-15.5,325.5,22.5,❌,10.93,351.93,3.93,✅,-0.47,340.53,7.47,❌,693,⚠️351.9
2025-12-22 23:32,2025-12-22 23:42,341,352,11,333,352,342.6,-17.03,323.97,28.03,❌,10.09,351.09,0.91,✅,-0.31,340.69,11.31,❌,675,⚠️351.1
2025-12-22 23:33,2025-12-22 23:43,341,340,-1,333,352,342.5,-17.23,323.77,16.23,✅,9.4,350.4,10.4,❌,-1.21,339.79,0.21,✅,681,⚠️350.4
2025-12-22 23:34,2025-12-22 23:44,341,352,11,333,352,343.6,-17.28,323.72,28.28,❌,8.8,349.8,2.2,✅,-0.92,340.08,11.92,❌,686,
2025-12-22 23:35,2025-12-22 23:45,351,348,-3,333,352,343.3,-19.81,331.19,16.81,✅,4.06,355.06,7.06,✅,-6.33,344.67,3.33,✅,689,🚨355.1
2025-12-22 23:36,2025-12-22 23:46,346,345,-1,333,352,343.2,-17.26,328.74,16.26,✅,5.83,351.83,6.83,❌,-4.61,341.39,3.61,✅,688,⚠️351.8
2025-12-22 23:37,2025-12-22 23:47,345,344,-1,333,352,343.1,-16.72,328.28,15.72,✅,7.75,352.75,8.75,❌,-3.87,341.13,2.87,✅,694,⚠️352.8
2025-12-22 23:38,2025-12-22 23:48,333,349,16,333,352,344.7,-13.68,319.32,29.68,❌,13.01,346.01,2.99,✅,1.73,334.73,14.27,✅,692,
2025-12-22 23:39,2025-12-22 23:49,333,355,22,336,355,346.9,-12.22,320.78,34.22,❌,13.44,346.44,8.56,✅,1.89,334.89,20.11,✅,705,
2025-12-22 23:40,2025-12-22 23:50,336,353,17,340,355,348.6,-12.05,323.95,29.05,❌,13.83,349.83,3.17,✅,2.26,338.26,14.74,✅,691,
2025-12-22 23:41,2025-12-22 23:51,348,359,11,340,359,349.7,-14.61,333.39,25.61,❌,8.68,356.68,2.32,✅,-1.55,346.45,12.55,❌,715,🚨356.7
2025-12-22 23:42,2025-12-22 23:52,352,363,11,340,363,350.8,-17.2,334.8,28.2,❌,7.92,359.92,3.08,✅,-3.51,348.49,14.51,❌,737,⚠️359.9
2025-12-22 23:43,2025-12-22 23:53,340,360,20,344,363,352.8,-12.43,327.57,32.43,❌,13.08,353.08,6.92,✅,0.26,340.26,19.74,✅,749,⚠️353.1
2025-12-22 23:44,2025-12-22 23:54,352,366,14,344,366,354.2,-16.7,335.3,30.7,❌,5.06,357.06,8.94,✅,-6.74,345.26,20.74,❌,742,⚠️357.1
2025-12-22 23:45,2025-12-22 23:55,348,354,6,344,366,354.8,-14.92,333.08,20.92,❌,8.55,356.55,2.55,✅,-2.73,345.27,8.73,❌,736,⚠️356.6
2025-12-22 23:46,2025-12-22 23:56,345,351,6,344,366,355.4,-12.65,332.35,18.65,❌,9.26,354.26,3.26,✅,-0.08,344.92,6.08,❌,745,⚠️354.3
2025-12-22 23:47,2025-12-22 23:57,344,351,7,349,366,356.1,-13.49,330.51,20.49,❌,6.54,350.54,0.46,✅,-1.34,342.66,8.34,❌,741,⚠️350.5
2025-12-22 23:48,2025-12-22 23:58,349,361,12,351,366,357.3,-12.93,336.07,24.93,❌,7.38,356.38,4.62,✅,-0.6,348.4,12.6,❌,747,⚠️356.4
2025-12-22 23:49,2025-12-22 23:59,355,367,12,351,367,358.5,-16.12,338.88,28.12,❌,4.38,359.38,7.62,✅,-3.74,351.26,15.74,❌,733,⚠️359.4
2025-12-22 23:50,2025-12-23 00:00,353,358,5,351,367,359.0,-17.43,335.57,22.43,❌,5.26,358.26,0.26,✅,-5.32,347.68,10.32,❌,725,⚠️358.3
2025-12-22 23:51,2025-12-23 00:01,359,350,-9,350,367,358.1,-20.91,338.09,11.91,✅,1.0,360.0,10.0,❌,-9.24,349.76,0.24,✅,724,⚠️360.0
2025-12-22 23:52,2025-12-23 00:02,363,344,-19,344,367,356.2,-22.39,340.61,3.39,✅,0.16,363.16,19.16,❌,-10.98,352.02,8.02,✅,720,⚠️363.2
2025-12-22 23:53,2025-12-23 00:03,360,348,-12,344,367,355.0,-19.99,340.01,7.99,✅,1.24,361.24,13.24,❌,-9.24,350.76,2.76,✅,725,⚠️361.2
2025-12-22 23:54,2025-12-23 00:04,366,352,-14,344,367,353.6,-22.73,343.27,8.73,✅,-0.19,365.81,13.81,✅,-12.0,354.0,2.0,✅,730,⚠️365.8
2025-12-22 23:55,2025-12-23 00:05,354,351,-3,344,367,353.3,-19.46,334.54,16.46,✅,5.09,359.09,8.09,❌,-7.07,346.93,4.07,✅,714,⚠️359.1
2025-12-22 23:56,2025-12-23 00:06,351,353,2,344,367,353.5,-18.71,332.29,20.71,❌,5.3,356.3,3.3,✅,-5.47,345.53,7.47,❌,698,⚠️356.3
2025-12-22 23:57,2025-12-23 00:07,351,347,-4,344,367,353.1,-16.91,334.09,12.91,✅,8.11,359.11,12.11,❌,-5.37,345.63,1.37,✅,689,⚠️359.1
2025-12-22 23:58,2025-12-23 00:08,361,345,-16,344,367,351.5,-17.56,343.44,1.56,✅,7.4,368.4,23.4,❌,-6.25,354.75,9.75,✅,687,⚠️368.4
2025-12-22 23:59,2025-12-23 00:09,367,336,-31,336,358,348.4,-22.72,344.28,8.28,✅,2.99,369.99,33.99,❌,-12.33,354.67,18.67,✅,682,⚠️370.0
2025-12-23 00:00,2025-12-23 00:10,358,346,-12,336,353,347.2,-23.31,334.69,11.31,✅,3.81,361.81,15.81,❌,-9.21,348.79,2.79,✅,672,⚠️361.8
2025-12-23 00:01,2025-12-23 00:11,350,342,-8,336,353,346.4,-19.21,330.79,11.21,✅,7.27,357.27,15.27,❌,-7.13,342.87,0.87,✅,676,⚠️357.3
2025-12-23 00:02,2025-12-23 00:12,344,337,-7,336,353,345.7,-19.06,324.94,12.06,✅,6.28,350.28,13.28,❌,-7.46,336.54,0.46,✅,679,⚠️350.3
2025-12-23 00:03,2025-12-23 00:13,348,336,-12,336,353,344.5,-18.0,330.0,6.0,✅,8.02,356.02,20.02,❌,-7.05,340.95,4.95,✅,677,⚠️356.0
2025-12-23 00:04,2025-12-23 00:14,352,334,-18,334,353,342.7,-15.11,336.89,2.89,✅,8.79,360.79,26.79,❌,-4.77,347.23,13.23,✅,690,⚠️360.8
2025-12-23 00:05,2025-12-23 00:15,351,336,-15,334,353,341.2,-19.06,331.94,4.06,✅,8.2,359.2,23.2,❌,-5.68,345.32,9.32,✅,694,⚠️359.2
2025-12-23 00:06,2025-12-23 00:16,353,352,-1,334,352,341.1,-17.55,335.45,16.55,✅,8.08,361.08,9.08,❌,-7.91,345.09,6.91,✅,700,⚠️361.1
2025-12-23 00:07,2025-12-23 00:17,347,355,8,334,355,341.9,-14.18,332.82,22.18,❌,12.36,359.36,4.36,✅,-5.65,341.35,13.65,❌,697,⚠️359.4
2025-12-23 00:08,2025-12-23 00:18,345,349,4,334,355,342.3,-15.66,329.34,19.66,❌,13.44,358.44,9.44,✅,-4.9,340.1,8.9,✅,694,⚠️358.4
2025-12-23 00:09,2025-12-23 00:19,336,347,11,334,355,343.4,-15.46,320.54,26.46,❌,13.17,349.17,2.17,✅,-2.84,333.16,13.84,❌,695,
2025-12-23 00:10,2025-12-23 00:20,346,352,6,334,355,344.0,-14.87,331.13,20.87,❌,11.8,357.8,5.8,✅,-5.72,340.28,11.72,❌,718,🚨357.8
2025-12-23 00:11,2025-12-23 00:21,342,351,9,334,355,344.9,-14.82,327.18,23.82,❌,12.68,354.68,3.68,✅,-2.68,339.32,11.68,❌,712,⚠️354.7
2025-12-23 00:12,2025-12-23 00:22,337,348,11,334,355,346.0,-12.05,324.95,23.05,❌,14.61,351.61,3.61,✅,-1.73,335.27,12.73,❌,705,⚠️351.6
2025-12-23 00:13,2025-12-23 00:23,336,346,10,334,355,347.0,-12.37,323.63,22.37,❌,14.68,350.68,4.68,✅,-0.84,335.16,10.84,❌,688,⚠️350.7
2025-12-23 00:14,2025-12-23 00:24,334,353,19,336,355,348.9,-13.87,320.13,32.87,❌,14.57,348.57,4.43,✅,-0.97,333.03,19.97,❌,691,
2025-12-23 00:15,2025-12-23 00:25,336,349,13,346,355,350.2,-14.71,321.29,27.71,❌,12.88,348.88,0.12,✅,-3.9,332.1,16.9,❌,679,
2025-12-23 00:16,2025-12-23 00:26,352,340,-12,340,355,349.0,-14.85,337.15,2.85,✅,6.92,358.92,18.92,❌,-6.06,345.94,5.94,✅,679,🚨358.9
2025-12-23 00:17,2025-12-23 00:27,355,340,-15,340,353,347.5,-19.24,335.76,4.24,✅,6.3,361.3,21.3,❌,-6.68,348.32,8.32,✅,674,⚠️361.3
2025-12-23 00:18,2025-12-23 00:28,349,339,-10,339,353,346.5,-17.78,331.22,7.78,✅,7.09,356.09,17.09,❌,-5.33,343.67,4.67,✅,684,⚠️356.1
2025-12-23 00:19,2025-12-23 00:29,347,335,-12,335,353,345.3,-18.62,328.38,6.62,✅,7.23,354.23,19.23,❌,-5.02,341.98,6.98,✅,687,⚠️354.2
2025-12-23 00:20,2025-12-23 00:30,352,328,-24,328,353,342.9,-18.15,333.85,5.85,✅,9.42,361.42,33.42,❌,-2.46,349.54,21.54,✅,676,⚠️361.4
2025-12-23 00:21,2025-12-23 00:31,351,332,-19,328,353,341.0,-16.36,334.64,2.64,✅,8.23,359.23,27.23,❌,-2.27,348.73,16.73,✅,674,⚠️359.2
